Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
aws-clis-action,38,3,8,1,0,3,1
clone-github-repo-action,45,9,0,1,0,1,1
cloud-formulas,0,0,0,2,0,0,0
command-output-file-action,114,5,73,1,0,0,1
ctf-zup-2021,0,0,0,1,0,0,0
developers-tips-and-tricks-resources,79,15,5,1,7,32,5
dezafio,93,2,13,1,0,0,1
diff-action,392,8,584,1,0,2,1
formulas-4-tests,151,1,0,2,0,0,1
formulas-aws,48,10,2,2,2,6,3
formulas-games,37,11,2,1,1,1,1
formulas-github,156,25,4,4,4,22,2
formulas-insights,11,3,7,1,0,3,1
formulas-office-hours,2,1,0,1,0,0,1
formulas-pontomais,0,0,0,1,0,0,1
formulas-python,58,11,7,2,3,14,2
formulas-training,1,1,28,1,0,0,1
go-authenticator,1,1,0,1,0,0,1
good-first-issue,7,3,2,30,0,1,0
GuillaumeFalourd,581,137,278,3,54,18,2
java-training-api,228,23,24,2,0,5,2
jobs-by-city-linkedin-reports,2,1,2,1,0,0,1
mapas-mentais,0,0,0,2,0,0,0
maven-cli-jdks-action,3,2,0,1,0,0,1
my-contents,0,0,0,1,0,0,1
noticias,0,0,0,1,0,0,0
open-issue-action,4,2,0,1,0,0,1
poc-bank-api-java,40,2,0,1,0,2,1
poc-bank-api-kotlin,1,1,2,2,0,0,1
poc-book-api-golang,24,4,9,1,0,0,1
poc-chalice-python,0,0,1,1,0,1,1
poc-composite-run-steps-action,4,1,0,1,0,0,1
poc-django-python,0,0,0,1,0,0,1
poc-github-actions,158,45,105,2,0,2,1
poc-go-mod,0,0,0,1,0,0,1
poc-grpc-python,0,0,0,1,0,0,1
poc-kafka-python,0,0,0,1,0,0,1
poc-rest-api-golang,43,4,11,1,0,0,1
poc-rest-api-python,0,0,0,1,0,0,1
publicacoes,0,0,0,1,0,0,0
repositories-reports,12,4,8,1,1,1,1
ritchie-action-go-15,0,0,0,1,0,0,1
ritchie-action-java-8,0,0,0,1,1,1,1
ritchie-action-node,0,0,0,1,0,0,1
ritchie-action-python,0,0,0,1,0,0,1
ritchie-action-shell,0,0,0,1,0,0,1
ritchie-cli,571,4,199,30,0,0,0
ritchie-demo-create-cluster,23,4,0,1,0,0,1
ritchie-docker-images,0,0,0,1,0,0,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,2,0,0,0
ritchie-formulas-scheduler-demo,38,2,8,1,0,4,2
ritchie-tdc-poa,0,0,0,1,0,0,1
ritchie-tdc-recife,0,0,2,1,0,0,1
ritchie-templates,17,2,0,2,0,0,1
setup-windows10-sdk-action,21,5,0,2,0,0,1
stackoverflow-automation,0,0,0,1,0,0,1
test-cli-commands-action,75,5,174,1,0,1,1
trilha-java,187,6,1,2,2,4,3
useful-actions,49,14,294,2,1,1,1
vagas,0,0,0,2,0,0,0
