Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
aws-clis-action,0,0,2,1,0,3,1
clone-github-repo-action,60,13,2,1,0,1,1
cloud-formulas,0,0,0,2,0,0,0
command-output-file-action,0,0,1,1,0,0,1
create-other-repo-branch-action,80,4,18,1,0,1,1
ctf-zup-2021,0,0,0,1,0,0,0
developers-tips-and-tricks-resources,67,6,5,1,7,33,5
dezafio,104,2,19,2,0,0,1
diff-action,4,1,1,1,0,2,1
docs-ritchie,18,1,9,9,0,0,0
formulas-4-tests,12,1,1,2,0,0,1
formulas-aws,42,10,0,2,2,6,3
formulas-games,610,117,2,1,1,9,1
formulas-github,50,21,1,4,4,22,2
formulas-insights,10,3,1,1,0,2,1
formulas-office-hours,0,0,0,1,0,0,1
formulas-pontomais,0,0,0,1,0,0,1
formulas-python,12,5,1,2,3,14,2
formulas-training,0,0,28,1,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,0,30,0,1,0
GuillaumeFalourd,126,44,247,3,58,22,2
hypedsearch,3,1,8,3,0,0,0
java-training-api,132,18,1,2,0,9,2
jobs-by-city-linkedin-reports,0,0,2,1,0,0,1
mapas-mentais,4,1,0,2,0,0,0
maven-cli-jdks-action,0,0,0,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,25,6,26,9,0,0,0
noticias,0,0,0,1,0,0,0
open-issue-action,5,1,1,1,0,0,1
poc-bank-api-java,1,1,0,1,0,2,1
poc-bank-api-kotlin,0,0,0,2,0,0,1
poc-book-api-golang,2,1,0,1,0,0,1
poc-chalice-python,0,0,0,1,0,1,1
poc-composite-run-steps-action,0,0,0,1,0,0,1
poc-django-python,0,0,0,1,0,0,1
poc-github-actions,422,18,342,2,0,2,1
poc-go-mod,0,0,0,1,0,0,1
poc-grpc-python,8,1,0,1,0,0,1
poc-kafka-python,0,0,1,1,0,0,1
poc-rest-api-golang,0,0,0,1,0,0,1
poc-rest-api-python,0,0,1,1,0,0,1
publicacoes,2,1,0,1,0,0,0
repositories-reports,9,2,7,1,1,1,1
ritchie-action-go-15,0,0,0,1,0,0,1
ritchie-action-java-8,0,0,0,1,1,1,1
ritchie-action-node,1,1,0,1,0,0,1
ritchie-action-python,0,0,1,1,0,0,1
ritchie-action-shell,3,1,0,1,0,0,1
ritchie-cli,211,1,206,30,0,0,0
ritchie-cli-action,26,8,13,1,1,1,1
ritchie-demo-create-cluster,13,4,0,1,0,0,1
ritchie-docker-images,0,0,0,1,0,0,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,14,3,3,11,0,0,0
ritchie-formulas-scheduler-demo,23,5,29,1,0,4,2
ritchie-tdc-poa,0,0,0,1,0,0,1
ritchie-tdc-recife,0,0,0,1,0,0,1
ritchie-templates,1,1,0,2,0,0,1
setup-windows10-sdk-action,25,7,1,2,0,1,1
stackoverflow-automation,0,0,0,1,0,0,1
test-cli-commands-action,56,7,58,1,0,1,1
trilha-java,31,2,0,2,2,4,3
useful-actions,30,4,293,2,1,1,1
vagas,1,1,1,2,0,0,0
