Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
poc-terraform,0,0,0,1,0,0,1
poc-testing-rest-api-golang,1,1,11,2,0,0,1
poc-typescript,0,0,3,2,0,0,2
poc-viper,0,0,3,1,0,0,2
Practic,0,0,5,1,0,0,1
publicacoes,0,0,1,1,0,0,1
pull-request-action,8,2,3,1,0,1,2
read-java-properties-file,0,0,0,1,0,0,1
replace-values-action,9,1,34,1,0,0,2
repo-template,1,1,3,1,0,0,2
repo1,0,0,0,2,0,0,1
repositories-reports,12,2,11,1,1,5,2
ritchie-action-go-15,0,0,6,1,0,0,2
ritchie-action-java-8,0,0,5,1,1,1,2
ritchie-action-node,0,0,5,1,0,0,2
ritchie-action-python,0,0,5,1,0,1,2
ritchie-action-shell,0,0,27,1,0,0,2
ritchie-cli,0,0,0,30,0,0,1
ritchie-cli-action,0,0,4,1,1,2,2
ritchie-demo-create-cluster,24,2,3,1,2,1,2
ritchie-docker-images,2,1,2,1,0,1,2
ritchie-formulas,0,0,0,30,0,0,1
ritchie-formulas-demo,0,0,0,11,0,0,1
ritchie-formulas-scheduler-demo,127,38,10,1,3,5,3
ritchie-tdc-poa,0,0,3,1,1,1,2
ritchie-tdc-recife,0,0,3,1,0,1,2
ritchie-templates,0,0,1,1,0,1,1
ritchie-templates-perso,0,0,3,2,0,0,2
runtime-deploy,0,0,0,2,0,0,0
runtime-deploy-action,0,0,0,1,0,0,1
schemastore-stackspot,0,0,1,6,0,0,1
setup-rsync,72,13,5,1,3,8,2
setup-windows10-sdk-action,9,4,3,5,9,19,2
sign-and-notarize-gha,22,6,4,1,0,3,2
so-automation,0,0,0,1,0,0,1
splain,0,0,1,14,0,0,1
SSH-to-HTTPS,41,3,3,1,1,1,2
stackspot-actions,1,1,2,1,0,0,2
stackspot-plugins,20,2,24,1,0,0,2
stk-cli-action,0,0,0,2,0,0,1
stk-cli-action-poc,0,0,3,1,0,0,2
stk-quickstart-golang,0,0,6,1,0,0,2
test,0,0,0,2,0,0,1
TestCreateSecret,0,0,1,2,0,0,1
useful-actions,117,56,548,4,17,212,3
vagas,0,0,1,2,0,0,1
viagem,0,0,3,3,0,0,1
wait-on-check-action,0,0,1,10,0,0,1
wait-sleep-action,4,2,11,1,0,0,2
webhooks-python,0,0,3,1,0,0,2
write-java-properties-file,20,3,3,1,0,3,2
xcode-notarize,37,3,1,2,2,1,1
actions-download-file,0,0,0,5,0,0,1
Alphasians-AINA,0,0,1,2,0,0,1
apisec-run-scan,0,0,0,4,0,0,1
article_foss4g2021,0,0,1,9,0,0,1
assert-command-line-output,28,7,19,2,4,18,2
awesome-chatgpt-prompts,0,0,0,30,0,0,1
aws-clis-action,15,1,2,1,0,4,2
aws-doc-sdk-examples,0,0,0,30,0,0,1
aws-ecs-cluster-using-terraform,0,0,3,1,0,0,1
bot-area,0,0,1,3,1,0,1
branch-exists,9,3,2,1,0,0,2
Calendly-mentores,0,0,2,2,0,0,1
clone-github-repo-action,254,58,5,2,15,35,3
cloud-formulas,0,0,2,2,0,1,1
command-output-file-action,1,1,2,1,0,1,2
convert-json-to-env,38,6,4,1,0,1,2
copy-push-files,4,4,3,1,3,1,2
create-other-repo-branch-action,43,18,5,3,5,9,2
ctf-zup-2021,0,0,0,1,0,0,1
DescomplicandoDocker,0,0,0,2,0,0,1
developers-tips-and-tricks-resources,54,4,10,1,16,64,9
dezafio-java,0,0,0,2,0,0,1
dezafio-kotlin,10,2,2,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,1,1,0,2,0,0,3
diff-action,7,5,2,1,0,2,2
djangowallet,0,0,0,2,0,0,1
docker-mysql-python,376,12,7,1,4,10,3
docker-para-desenvolvedores,0,0,0,30,0,0,1
docs-ritchie,0,0,1,10,0,0,1
formulas-4-tests,0,0,3,2,0,2,2
formulas-aws,11,2,6,3,7,12,4
formulas-games,112,15,2,1,2,10,3
formulas-github,83,16,3,5,6,35,3
formulas-gRPC,0,0,3,2,0,3,2
formulas-insights,3,3,4,1,0,8,2
formulas-office-hours,0,0,3,1,0,1,2
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,2,1,3,1,0,1,2
formulas-python,20,3,18,2,3,18,4
formulas-training,0,0,42,1,0,0,1
formulas-v3,0,0,7,1,0,1,2
get-release-or-tag,0,0,1,1,0,0,1
git-commit-push,19,10,242,1,1,13,3
github-stack,0,0,2015,1,0,0,2
github-team-members,0,0,3,1,0,0,2
github_actions_test,0,0,2,2,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,1,30,0,1,1
GuillaumeFalourd,120,21,151,3,98,40,4
guillaumefalourd.github.io,0,0,2,1,0,0,2
horusec-action,1,1,0,2,0,0,1
hypedsearch,8,1,1,3,0,0,1
idea-maze,34,1,0,2,0,0,1
install-poetry,0,0,0,15,0,0,1
java-exercices,77,11,3,9,13,30,3
java-training-api,103,7,5,2,46,95,4
java-trilha-basica,2,1,8,2,5,12,4
jobs-by-city-linkedin-reports,0,0,0,1,0,0,1
Kivy_calculator,0,0,1,2,0,0,1
kotlin-training-api,0,0,4,1,0,0,1
macos-installer-builder,0,0,0,3,0,0,1
mapas-mentais,0,0,1,2,0,1,1
maven-cli-jdks-action,5,5,4,1,0,0,2
my-contents,0,0,0,1,0,0,1
NFive,0,0,1,9,0,0,1
notary-tools,5,2,10,1,0,1,2
noticias,0,0,0,1,0,0,1
open-issue-action,1,1,3,1,1,2,2
os-cli-poc,0,0,0,1,0,0,1
phpunit,0,0,1,2,0,0,1
poc-bank-api-java,1,1,4,2,0,4,2
poc-bank-api-kotlin,0,0,0,2,0,0,1
poc-book-api-golang,0,0,5,1,0,0,2
poc-chalice-python,7,1,4,1,0,1,2
poc-cicd-herokuci,0,0,3,1,0,0,2
poc-cli-golang,0,0,3,2,0,1,2
poc-cli-python,0,0,3,2,0,0,3
poc-cli-translations,0,0,3,1,0,1,2
poc-composite-run-steps-action,0,0,3,1,0,0,2
poc-django-python,0,0,2,1,0,0,2
poc-encryption-jwt,0,0,2,2,3,8,2
poc-github-actions,3556,532,994,3,80,204,4
poc-go-mod,0,0,3,1,0,0,2
poc-grpc-golang,0,0,3,2,0,0,2
poc-grpc-java-gradle,0,0,5,2,0,2,2
poc-grpc-java-maven,0,0,2,3,0,1,2
poc-grpc-python,0,0,13,1,0,0,2
poc-kafka-python,0,0,2,1,0,0,2
poc-private-repo-actions,0,0,0,1,0,0,1
poc-proto,0,0,7,1,0,1,2
poc-pyinstaller,0,0,6,2,1,0,2
poc-pytest-split-github-actions,0,0,2,1,1,0,2
poc-remote-workflow,0,0,2,1,0,0,2
poc-rest-api-golang,0,0,5,1,0,0,2
poc-rest-api-python,0,0,3,2,0,0,2
poc-runtimes,0,0,0,2,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,3,2,26,2,0,1,2
poc-template-rest,0,0,1,2,0,0,1
