Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
poc-template-rest,0,0,1,2,0,0,1
poc-terraform,0,0,0,1,0,0,1
poc-testing-rest-api-golang,0,0,0,2,0,0,1
poc-typescript,2,2,12,2,0,0,2
poc-viper,0,0,1,1,0,0,2
Practic,0,0,1,1,0,0,1
publicacoes,0,0,2,1,0,0,1
pull-request-action,27,3,5,1,0,1,2
read-java-properties-file,0,0,0,1,0,0,1
replace-values-action,4,1,35,1,0,0,2
repo-template,0,0,1,1,0,0,2
repo1,0,0,3,2,0,0,1
repositories-reports,6,2,16,1,2,5,2
ritchie-action-go-15,0,0,4,1,0,0,2
ritchie-action-java-8,0,0,4,1,1,1,2
ritchie-action-node,0,0,4,1,0,0,2
ritchie-action-python,0,0,4,1,0,1,2
ritchie-action-shell,0,0,9,1,0,0,2
ritchie-cli,0,0,2,30,0,0,1
ritchie-cli-action,0,0,1,1,1,2,2
ritchie-demo-create-cluster,1,1,2,1,2,1,2
ritchie-docker-images,6,3,1,1,0,1,2
ritchie-formulas,0,0,2,30,0,0,1
ritchie-formulas-demo,0,0,1,11,0,0,1
ritchie-formulas-scheduler-demo,145,42,4,1,3,5,3
ritchie-tdc-poa,0,0,1,1,1,1,2
ritchie-tdc-recife,0,0,2,1,0,1,2
ritchie-templates,0,0,1,1,0,1,1
ritchie-templates-perso,0,0,2,2,0,0,2
runtime-deploy,3,1,1,2,0,0,0
runtime-deploy-action,0,0,0,1,0,0,1
runtime-knowledge-sources,1,1,1,1,0,0,1
schemastore-stackspot,0,0,1,6,0,0,1
setup-rsync,64,11,10,2,3,9,2
setup-windows10-sdk-action,60,13,13,5,8,19,2
sign-and-notarize-gha,12,6,2,1,0,3,2
so-automation,0,0,0,1,0,0,1
splain,0,0,2,13,0,0,1
SSH-to-HTTPS,11,3,3,1,1,1,2
stackspot-actions,7,1,1,1,0,0,2
stackspot-plugins,0,0,2,1,0,1,2
stk-cli-action,0,0,1,2,0,0,1
stk-cli-action-poc,0,0,3,1,0,0,2
stk-quickstart-golang,0,0,3,1,0,0,2
test,0,0,3,2,0,0,1
TestCreateSecret,0,0,1,2,0,0,1
useful-actions,192,49,550,5,19,217,3
vagas,0,0,1,2,0,0,1
viagem,0,0,1,3,0,0,1
wait-on-check-action,0,0,2,10,0,0,1
wait-sleep-action,36,6,6,1,0,2,2
webhooks-python,0,0,1,1,0,0,2
write-java-properties-file,10,1,5,2,0,3,2
xcode-notarize,2,2,2,2,2,2,1
actions-download-file,0,0,3,5,0,0,1
Alphasians-AINA,0,0,1,2,0,0,1
apisec-run-scan,0,0,2,4,0,0,1
article_foss4g2021,0,0,2,9,0,0,1
assert-command-line-output,34,9,18,2,3,18,2
awesome-chatgpt-prompts,0,0,2,30,0,0,1
aws-clis-action,0,0,1,1,0,4,2
aws-doc-sdk-examples,0,0,0,30,0,0,1
aws-ecs-cluster-using-terraform,1,1,2,1,0,0,1
bot-area,0,0,2,3,1,0,1
branch-exists,8,2,1,1,0,0,2
Calendly-mentores,0,0,1,2,0,0,1
clone-github-repo-action,223,48,11,3,15,38,3
cloud-formulas,0,0,1,2,0,1,1
command-output-file-action,1,1,3,1,0,1,2
convert-json-to-env,118,12,1,1,0,1,2
copy-push-files,2,2,5,1,3,1,2
create-other-repo-branch-action,91,31,5,3,6,9,2
ctf-zup-2021,0,0,0,1,0,0,1
DescomplicandoDocker,0,0,0,2,0,0,1
developers-tips-and-tricks-resources,43,7,12,1,16,64,9
dezafio-java,0,0,0,2,0,0,1
dezafio-kotlin,0,0,0,3,1,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,2,0,0,3
diff-action,19,5,4,1,0,2,2
djangowallet,0,0,2,2,0,0,1
docker-mysql-python,205,8,4,1,4,10,3
docker-para-desenvolvedores,0,0,0,30,0,0,1
docs-ritchie,0,0,1,10,0,0,1
formulas-4-tests,0,0,2,2,0,2,2
formulas-aws,1,1,6,3,7,12,4
formulas-games,110,10,4,1,2,10,3
formulas-github,105,26,5,5,6,35,3
formulas-gRPC,1,1,2,2,0,3,2
formulas-insights,4,2,2,1,0,8,2
formulas-office-hours,0,0,1,1,0,1,2
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,1,1,0,1,2
formulas-python,0,0,8,2,3,18,4
formulas-training,0,0,51,1,0,0,1
formulas-v3,0,0,1,1,0,1,2
get-release-or-tag,22,2,4,1,0,0,1
git-commit-push,29,5,195,1,1,13,3
github-stack,0,0,4,1,0,0,2
github-team-members,7,1,1,1,0,0,2
github_actions_test,0,0,1,2,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,1,30,0,1,1
GuillaumeFalourd,141,25,250,3,102,39,4
guillaumefalourd.github.io,0,0,2,1,0,0,2
horusec-action,0,0,1,2,0,0,1
hypedsearch,8,1,1,3,0,0,1
idea-maze,0,0,1,2,0,0,1
install-poetry,0,0,1,15,0,0,1
java-exercices,198,18,5,8,12,31,3
java-training-api,49,4,7,2,44,100,4
java-trilha-basica,29,2,4,2,5,13,4
jobs-by-city-linkedin-reports,0,0,0,1,0,0,1
Kivy_calculator,0,0,1,2,0,0,1
kotlin-training-api,0,0,9,1,0,0,1
macos-installer-builder,0,0,0,3,0,0,1
mapas-mentais,0,0,2,2,0,1,1
maven-cli-jdks-action,3,1,1,1,0,0,2
my-contents,0,0,0,1,0,0,1
NFive,0,0,2,9,0,0,1
notary-tools,0,0,3,1,1,1,2
noticias,0,0,2,1,0,0,1
open-issue-action,4,2,3,1,1,2,2
os-cli-poc,0,0,0,1,0,0,1
phpunit,0,0,1,2,0,0,1
poc-ai,0,0,0,1,0,0,1
poc-bank-api-java,10,2,1,2,0,4,2
poc-bank-api-kotlin,0,0,0,2,0,0,1
poc-book-api-golang,0,0,1,1,0,0,2
poc-chalice-python,0,0,2,1,0,1,2
poc-cicd-herokuci,0,0,1,1,0,0,2
poc-cli-golang,0,0,2,2,0,1,2
poc-cli-python,0,0,1,2,0,0,3
poc-cli-translations,0,0,1,1,0,1,2
