Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
Alphasians-AINA,96,4,13,2,0,0,0
article_foss4g2021,0,0,0,9,0,0,0
aws-clis-action,17,3,4,1,0,3,1
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,56,15,4,1,0,4,1
cloud-formulas,0,0,1,2,0,0,0
command-output-file-action,2,1,0,1,0,0,1
create-other-repo-branch-action,29,11,5,1,0,1,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,19,9,7,1,13,49,7
dezafio,7,1,0,2,0,0,1
diff-action,15,4,0,1,0,2,1
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,0,10,0,0,0
formulas-4-tests,0,0,1,2,0,0,1
formulas-aws,64,15,3,2,2,7,3
formulas-games,48,10,14,1,1,10,2
formulas-github,58,18,11,5,5,23,2
formulas-gRPC,99,13,8,1,0,2,1
formulas-insights,6,4,3,1,0,2,1
formulas-office-hours,0,0,0,1,0,0,1
formulas-pontomais,4,3,0,1,0,1,1
formulas-python,34,9,16,2,3,15,3
formulas-training,0,0,14,1,0,0,1
formulas-v3,36,8,5,1,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,0,30,0,1,0
GuillaumeFalourd,216,41,155,3,72,27,2
hypedsearch,0,0,0,3,0,0,0
java-exercices,0,0,0,1,0,0,1
java-training-api,301,53,7,2,22,66,3
jobs-by-city-linkedin-reports,2,1,2,1,0,0,1
mapas-mentais,0,0,0,2,0,0,0
maven-cli-jdks-action,4,1,1,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,0,0,0,9,0,0,0
noticias,0,0,0,1,0,0,0
open-issue-action,6,2,1,1,0,0,1
os-cli-poc,3,1,0,1,0,0,1
poc-bank-api-java,2,1,0,1,0,2,1
poc-bank-api-kotlin,0,0,0,2,0,0,1
poc-book-api-golang,0,0,0,1,0,0,1
poc-chalice-python,0,0,7,1,0,1,1
poc-cli-golang,3,2,0,1,0,0,1
poc-composite-run-steps-action,0,0,0,1,0,0,1
poc-django-python,0,0,2,1,0,0,1
poc-github-actions,209,55,10314,2,2,5,1
poc-go-mod,0,0,0,1,0,0,1
poc-grpc-golang,6,5,1,1,0,0,1
poc-grpc-java-gradle,2,1,0,2,0,2,1
poc-grpc-java-maven,20,5,1,1,0,1,1
poc-grpc-python,3,2,3,1,0,0,1
poc-kafka-python,0,0,4,1,0,0,1
poc-proto,57,6,8,1,0,1,1
poc-rest-api-golang,0,0,0,1,0,0,1
poc-rest-api-python,0,0,1,1,0,0,1
poc-template-rest,2,2,0,1,0,0,0
poc-viper,1,1,0,1,0,0,1
publicacoes,0,0,0,1,0,0,0
repositories-reports,4,2,5,1,1,1,1
ritchie-action-go-15,2,1,0,1,0,0,1
ritchie-action-java-8,2,1,0,1,1,1,1
ritchie-action-node,2,1,0,1,0,0,1
ritchie-action-python,5,2,0,1,0,0,1
ritchie-action-shell,3,2,0,1,0,0,1
ritchie-cli,41,4,63,30,0,0,0
ritchie-cli-action,5,1,3,1,1,1,1
ritchie-demo-create-cluster,10,6,0,1,0,0,1
ritchie-docker-images,11,8,0,1,1,0,1
ritchie-formulas,8,2,0,30,0,0,0
ritchie-formulas-demo,0,0,0,11,0,0,0
ritchie-formulas-scheduler-demo,8,2,2,1,1,4,2
ritchie-tdc-poa,0,0,1,1,0,0,1
ritchie-tdc-recife,10,1,1,1,0,0,1
ritchie-templates,6,1,1,1,0,0,0
ritchie-templates-perso,0,0,1,2,0,0,1
setup-windows10-sdk-action,59,13,3,2,1,4,1
so-automation,3,1,0,1,0,0,1
test-cli-commands-action,26,10,20,1,0,5,1
trilha-java,2,2,0,2,1,5,3
useful-actions,15,4,254,2,2,2,1
vagas,0,0,0,2,0,0,0
