Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
Alphasians-AINA,7,1,4,2,0,0,0
apisec-run-scan,0,0,5,4,0,0,0
article_foss4g2021,0,0,76,9,0,0,0
assert-command-line-output,134,6,2742,1,0,5,1
aws-clis-action,0,0,10,1,0,4,1
aws-doc-sdk-examples,0,0,0,30,0,0,0
Calendly-mentores,0,0,8,2,0,0,0
clone-github-repo-action,134,24,6,1,0,4,1
cloud-formulas,0,0,5,2,0,1,0
command-output-file-action,0,0,5,1,0,0,1
create-other-repo-branch-action,21,8,4,1,0,1,1
ctf-zup-2021,13,1,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,27,6,448,1,14,51,7
dezafio,0,0,0,2,0,0,1
diff-action,10,3,7,1,0,2,1
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,150,10,0,0,0
formulas-4-tests,0,0,5,2,0,1,1
formulas-aws,20,6,7,2,3,9,3
formulas-games,37,4,39,1,1,10,2
formulas-github,48,16,70,5,7,27,2
formulas-gRPC,0,0,5,1,0,3,1
formulas-insights,26,3,3,1,0,4,1
formulas-office-hours,0,0,11,1,0,1,1
formulas-perso,0,0,1,1,0,0,1
formulas-pontomais,3,2,0,1,0,1,1
formulas-python,63,1,65,2,3,16,3
formulas-training,0,0,24,1,0,0,1
formulas-v3,3,2,5,1,0,1,1
git-commit-push,153,10,831,1,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,6,30,0,1,0
GuillaumeFalourd,128,26,371,3,72,27,2
guillaumefalourd.github.io,16,6,49,1,0,0,1
hypedsearch,13,8,23,3,0,0,0
java-exercices,2342,32,46,9,12,5,2
java-training-api,137,18,9,2,29,75,3
jobs-by-city-linkedin-reports,0,0,3,1,0,0,1
mapas-mentais,0,0,5,2,0,0,0
maven-cli-jdks-action,13,4,7,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,0,0,5,9,0,0,0
noticias,0,0,1,1,0,0,0
open-issue-action,7,2,5,1,0,0,1
os-cli-poc,0,0,0,1,0,0,1
poc-bank-api-java,9,2,4,1,0,2,1
poc-bank-api-kotlin,3,2,4,2,0,0,1
poc-book-api-golang,0,0,9,1,0,0,1
poc-chalice-python,0,0,6,1,0,1,1
poc-cicd-herokuci,0,0,2,1,0,0,1
poc-cli-golang,0,0,0,1,0,0,1
poc-composite-run-steps-action,0,0,4,1,0,0,1
poc-django-python,0,0,0,1,0,0,1
poc-github-actions,478,63,483,2,5,8,1
poc-go-mod,0,0,18,1,0,0,1
poc-grpc-golang,0,0,17,1,0,0,1
poc-grpc-java-gradle,0,0,5,2,0,2,1
poc-grpc-java-maven,0,0,5,1,0,1,1
poc-grpc-python,0,0,15,1,0,0,1
poc-kafka-python,0,0,0,1,0,0,1
poc-private-repo-actions,0,0,139,1,0,0,1
poc-proto,0,0,6,1,0,1,1
poc-rest-api-golang,0,0,4,1,0,0,1
poc-rest-api-python,0,0,0,1,0,0,1
poc-template-rest,0,0,4,2,0,0,0
poc-typescript,0,0,0,1,0,0,1
poc-viper,0,0,9,1,0,0,1
publicacoes,0,0,5,1,0,0,0
repo-template,20,7,69,1,0,0,1
repositories-reports,0,0,15,1,1,1,1
ritchie-action-go-15,0,0,5,1,0,0,1
ritchie-action-java-8,0,0,7,1,1,1,1
ritchie-action-node,0,0,10,1,0,0,1
ritchie-action-python,2,1,12,1,0,1,1
ritchie-action-shell,6,2,14,1,0,0,1
ritchie-cli,0,0,39,30,0,0,0
ritchie-cli-action,1,1,9,1,1,2,1
ritchie-demo-create-cluster,25,5,6,1,0,0,1
ritchie-docker-images,18,4,10,1,0,1,1
ritchie-formulas,0,0,39,30,0,0,0
ritchie-formulas-demo,0,0,13,11,0,0,0
ritchie-formulas-scheduler-demo,19,2,76,1,2,5,2
ritchie-tdc-poa,0,0,6,1,0,1,1
ritchie-tdc-recife,0,0,3,1,0,1,1
ritchie-templates,3,1,7,1,0,1,0
ritchie-templates-perso,0,0,0,2,0,0,1
setup-windows10-sdk-action,27,7,7,2,2,7,1
so-automation,0,0,0,1,0,0,1
SSH-to-HTTPS,12,6,307,1,0,0,1
trilha-java,20,2,14,2,2,5,3
useful-actions,266,47,642,3,3,15,1
vagas,0,0,6,2,0,0,0
