Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
Alphasians-AINA,1,1,0,2,0,0,0
apisec-run-scan,0,0,0,4,0,0,0
article_foss4g2021,0,0,0,9,0,0,0
assert-command-line-output,136,29,148,1,0,9,1
aws-clis-action,30,4,2,1,0,4,1
aws-doc-sdk-examples,0,0,0,30,0,0,0
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,137,55,2,1,0,6,1
cloud-formulas,0,0,0,2,0,1,0
command-output-file-action,0,0,0,1,0,0,1
create-other-repo-branch-action,22,17,1,1,0,1,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,33,3,2,1,14,51,7
dezafio,2,1,0,2,0,0,1
diff-action,2,1,0,1,0,2,1
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,0,10,0,0,0
formulas-4-tests,3,1,6,2,0,1,1
formulas-aws,28,8,1,2,3,10,3
formulas-games,84,18,3,1,1,10,2
formulas-github,68,11,8,5,6,28,2
formulas-gRPC,0,0,1,1,0,3,1
formulas-insights,15,5,3,1,0,4,1
formulas-office-hours,0,0,0,1,0,1,1
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,0,1,0,1,1
formulas-python,2,2,38,2,3,16,3
formulas-training,0,0,14,1,0,0,1
formulas-v3,1,1,2,1,0,1,1
git-commit-push,7,2,132,1,0,1,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,0,30,0,1,0
GuillaumeFalourd,33,11,119,3,73,29,2
guillaumefalourd.github.io,0,0,0,1,0,0,1
horusec-action,77,1,13,2,0,0,0
hypedsearch,18,5,0,3,0,0,0
java-exercices,70,3,1,9,11,7,2
java-training-api,125,24,13,2,32,79,3
java-trilha-basica,13,3,1,2,2,8,3
jobs-by-city-linkedin-reports,0,0,2,1,0,0,1
Kivy_calculator,0,0,0,2,0,0,0
mapas-mentais,1,1,0,2,0,2,0
maven-cli-jdks-action,0,0,0,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,3,1,0,9,0,0,0
noticias,0,0,0,1,0,0,0
open-issue-action,16,5,1,1,0,0,1
os-cli-poc,0,0,0,1,0,0,1
poc-bank-api-java,40,3,1,1,0,2,1
poc-bank-api-kotlin,1,1,0,2,0,0,1
poc-book-api-golang,0,0,0,1,0,0,1
poc-chalice-python,0,0,2,1,0,1,1
poc-cicd-herokuci,0,0,0,1,0,0,1
poc-cli-golang,5,2,0,1,0,0,1
poc-cli-python,26,4,6,2,0,0,2
poc-composite-run-steps-action,0,0,0,1,0,0,1
poc-django-python,0,0,1,1,0,0,1
poc-github-actions,369,54,7752,2,6,12,1
poc-go-mod,0,0,1,1,0,0,1
poc-grpc-golang,1,1,124,1,0,0,1
poc-grpc-java-gradle,0,0,1,2,0,2,1
poc-grpc-java-maven,0,0,1,1,0,1,1
poc-grpc-python,0,0,1,1,0,0,1
poc-kafka-python,3,1,1,1,0,0,1
poc-private-repo-actions,0,0,0,1,0,0,1
poc-proto,0,0,0,1,0,1,1
poc-pyinstaller,149,3,73,2,1,0,1
poc-rest-api-golang,0,0,0,1,0,0,1
poc-rest-api-python,0,0,1,1,0,0,1
poc-subprocess,44,3,57,2,0,1,1
poc-template-rest,0,0,0,2,0,0,0
poc-typescript,0,0,0,1,0,0,1
poc-viper,0,0,0,1,0,0,1
publicacoes,0,0,0,1,0,0,0
repo-template,5,1,4,1,0,0,1
repositories-reports,0,0,4,1,1,1,1
ritchie-action-go-15,0,0,0,1,0,0,1
ritchie-action-java-8,0,0,0,1,1,1,1
ritchie-action-node,0,0,0,1,0,0,1
ritchie-action-python,0,0,0,1,0,1,1
ritchie-action-shell,0,0,0,1,0,0,1
ritchie-cli,10,1,0,30,0,0,0
ritchie-cli-action,2,2,1,1,1,2,1
ritchie-demo-create-cluster,11,3,0,1,0,0,1
ritchie-docker-images,3,1,0,1,0,1,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,11,0,0,0
ritchie-formulas-scheduler-demo,26,3,29,1,2,5,2
ritchie-tdc-poa,0,0,0,1,0,1,1
ritchie-tdc-recife,0,0,0,1,0,1,1
ritchie-templates,0,0,0,1,0,1,0
ritchie-templates-perso,0,0,0,2,0,0,1
setup-windows10-sdk-action,17,10,1,2,2,8,1
so-automation,0,0,0,1,0,0,1
splain,3,1,0,14,0,0,0
SSH-to-HTTPS,5,2,0,1,0,0,1
useful-actions,139,25,663,3,3,19,1
vagas,0,0,0,2,0,0,0
