Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
aws-clis-action,0,0,22,1,0,3,1
Calendly-mentores,15,2,2,2,0,0,0
clone-github-repo-action,25,8,3,1,0,3,1
cloud-formulas,2,1,1,2,0,0,0
command-output-file-action,5,2,0,1,0,0,1
create-other-repo-branch-action,10,6,1,1,0,1,1
ctf-zup-2021,0,0,0,1,0,0,0
developers-tips-and-tricks-resources,18,5,5,1,7,33,5
dezafio,77,3,4,2,0,0,1
diff-action,6,2,1,1,0,2,1
docs-ritchie,0,0,0,9,0,0,0
formulas-4-tests,0,0,0,2,0,0,1
formulas-aws,33,9,1,2,2,6,3
formulas-games,126,22,4,1,1,10,2
formulas-github,154,32,17,4,4,22,2
formulas-insights,2,2,0,1,0,2,1
formulas-office-hours,0,0,0,1,0,0,1
formulas-pontomais,0,0,0,1,0,0,1
formulas-python,21,7,3,2,3,14,2
formulas-training,0,0,17,1,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,0,30,0,1,0
GuillaumeFalourd,69,17,236,3,61,23,2
hypedsearch,8,2,0,3,0,0,0
java-training-api,82,22,8,2,0,11,2
jobs-by-city-linkedin-reports,0,0,2,1,0,0,1
mapas-mentais,0,0,1,2,0,0,0
maven-cli-jdks-action,2,2,0,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,8,1,0,9,0,0,0
noticias,0,0,1,1,0,0,0
open-issue-action,0,0,1,1,0,0,1
poc-bank-api-java,14,1,1,1,0,2,1
poc-bank-api-kotlin,0,0,2,2,0,0,1
poc-book-api-golang,0,0,0,1,0,0,1
poc-chalice-python,0,0,3,1,0,1,1
poc-composite-run-steps-action,0,0,0,1,0,0,1
poc-django-python,0,0,0,1,0,0,1
poc-github-actions,447,25,140,2,1,4,1
poc-go-mod,0,0,0,1,0,0,1
poc-grpc-java,89,11,15,2,0,2,1
poc-grpc-python,13,1,3,1,0,0,1
poc-kafka-python,0,0,0,1,0,0,1
poc-rest-api-golang,0,0,0,1,0,0,1
poc-rest-api-python,0,0,0,1,0,0,1
publicacoes,0,0,0,1,0,0,0
repositories-reports,4,2,5,1,1,1,1
ritchie-action-go-15,0,0,0,1,0,0,1
ritchie-action-java-8,3,1,0,1,1,1,1
ritchie-action-node,4,1,0,1,0,0,1
ritchie-action-python,0,0,0,1,0,0,1
ritchie-action-shell,5,1,0,1,0,0,1
ritchie-cli,76,3,24,30,0,0,0
ritchie-cli-action,13,2,1,1,1,1,1
ritchie-demo-create-cluster,2,2,1,1,0,0,1
ritchie-docker-images,0,0,0,1,0,0,1
ritchie-formulas,20,1,0,30,0,0,0
ritchie-formulas-demo,2,2,1,11,0,0,0
ritchie-formulas-scheduler-demo,68,3,31,1,1,4,2
ritchie-tdc-poa,0,0,1,1,0,0,1
ritchie-tdc-recife,0,0,1,1,0,0,1
ritchie-templates,0,0,1,2,0,0,1
setup-windows10-sdk-action,15,6,1,2,0,1,1
stackoverflow-automation,0,0,0,1,0,0,1
test-cli-commands-action,6,5,1,1,0,1,1
trilha-java,92,9,7,2,0,5,3
useful-actions,9,5,256,2,1,1,1
vagas,0,0,1,2,0,0,0
