Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
ritchie-tdc-recife,2,2,0,1,0,1,1
ritchie-templates,0,0,0,1,0,1,0
ritchie-templates-perso,0,0,0,2,0,0,1
setup-rsync,25,8,0,1,0,1,1
setup-windows10-sdk-action,296,23,41,2,3,9,1
sign-and-notarize-gha,5,4,0,1,0,0,1
so-automation,0,0,0,1,0,0,1
splain,5,1,2,14,0,0,0
SSH-to-HTTPS,7,3,3,1,1,1,1
stk-quickstart-golang,1,1,0,1,0,0,1
test,0,0,4,2,0,0,0
useful-actions,161,77,521,4,7,121,1
vagas,0,0,0,2,0,0,0
wait-on-check-action,0,0,0,10,0,0,0
wait-sleep-action,2,2,0,1,0,0,1
webhooks-python,0,0,0,1,0,0,1
xcode-notarize,1,1,2,2,0,0,0
actions-download-file,0,0,0,5,0,0,0
Alphasians-AINA,1,1,0,2,0,0,0
apisec-run-scan,0,0,0,4,0,0,0
article_foss4g2021,0,0,2,9,0,0,0
assert-command-line-output,11,11,0,1,1,10,1
aws-clis-action,1,1,2,1,0,4,1
aws-doc-sdk-examples,5,1,0,30,0,0,0
bot-area,6,1,1,3,0,0,0
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,285,120,2,1,1,10,2
cloud-formulas,0,0,0,2,0,1,0
command-output-file-action,3,1,1,1,0,0,1
convert-json-to-env,70,1,26,1,0,0,1
copy-push-files,19,3,0,1,1,0,1
create-other-repo-branch-action,55,22,7,2,1,1,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,4,1,7,1,16,57,7
dezafio,0,0,0,2,0,0,1
diff-action,0,0,2,1,0,2,1
djangowallet,0,0,0,2,0,0,0
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,2,10,0,0,0
formulas-4-tests,0,0,5,2,0,1,1
formulas-aws,30,7,2,2,4,10,3
formulas-games,37,14,2,1,1,10,2
formulas-github,131,34,1,5,6,31,2
formulas-gRPC,1,1,4,1,0,3,1
formulas-insights,28,5,7,1,0,6,1
formulas-office-hours,0,0,0,1,0,1,1
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,0,1,0,1,1
formulas-python,4,4,2,2,3,18,3
formulas-training,0,0,52,1,0,0,1
formulas-v3,1,1,0,1,0,1,1
git-commit-push,85,11,209,1,0,4,1
github_actions_test,0,0,0,2,0,0,0
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,0,30,0,1,0
GuillaumeFalourd,80,16,189,3,76,33,2
guillaumefalourd.github.io,0,0,0,1,0,0,1
horusec-action,2,1,0,2,0,0,0
hypedsearch,41,7,2,3,0,0,0
java-exercices,50,9,2,9,12,7,2
java-training-api,98,19,5,2,42,86,3
java-trilha-basica,0,0,0,2,3,8,3
jobs-by-city-linkedin-reports,0,0,2,1,0,0,1
Kivy_calculator,0,0,0,2,0,0,0
macos-installer-builder,0,0,0,3,0,0,0
mapas-mentais,1,1,2,2,0,1,0
maven-cli-jdks-action,18,4,2,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,7,3,2,9,0,0,0
noticias,0,0,0,1,0,0,0
open-issue-action,26,11,0,1,0,2,1
os-cli-poc,6,1,0,1,0,0,1
poc-bank-api-java,23,3,3,2,0,2,1
poc-bank-api-kotlin,0,0,0,2,1,0,1
poc-book-api-golang,0,0,0,1,0,0,1
poc-chalice-python,0,0,0,1,0,1,1
poc-cicd-herokuci,0,0,0,1,0,0,1
poc-cli-golang,0,0,0,1,0,0,1
poc-cli-python,0,0,0,2,0,0,2
poc-composite-run-steps-action,0,0,2,1,0,0,1
poc-django-python,0,0,0,1,0,0,1
poc-github-actions,1317,274,621,2,16,30,1
poc-go-mod,0,0,0,1,0,0,1
poc-grpc-golang,0,0,345,1,0,0,1
poc-grpc-java-gradle,0,0,1,2,0,2,1
poc-grpc-java-maven,0,0,0,1,0,1,1
poc-grpc-python,0,0,0,1,0,0,1
poc-kafka-python,1,1,0,1,0,0,1
poc-private-repo-actions,0,0,0,1,0,0,1
poc-proto,0,0,2,1,0,1,1
poc-pyinstaller,1,1,0,2,1,0,1
poc-rest-api-golang,0,0,0,1,0,0,1
poc-rest-api-python,0,0,0,1,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,0,0,5,2,0,1,1
poc-template-rest,0,0,2,2,0,0,0
poc-typescript,0,0,5,2,0,0,1
poc-viper,0,0,2,1,0,0,1
publicacoes,0,0,0,1,0,0,0
pull-request-action,10,4,60,1,0,1,1
repo-template,1,1,0,1,0,0,1
repo1,0,0,2,2,0,0,0
repositories-reports,22,5,6,1,1,3,1
ritchie-action-go-15,0,0,2,1,0,0,1
ritchie-action-java-8,0,0,6,1,1,1,1
ritchie-action-node,0,0,2,1,0,0,1
ritchie-action-python,2,1,4,1,0,1,1
ritchie-action-shell,0,0,0,1,0,0,1
ritchie-cli,0,0,0,30,0,0,0
ritchie-cli-action,2,1,5,1,1,2,1
ritchie-demo-create-cluster,25,5,1,1,0,0,1
ritchie-docker-images,2,2,4,1,0,1,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,1,11,0,0,0
ritchie-formulas-scheduler-demo,35,14,3,1,2,5,2
ritchie-tdc-poa,0,0,0,1,0,1,1
