Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
poc-template-rest,0,0,0,2,0,0,1
poc-terraform,0,0,0,1,0,0,1
poc-testing-rest-api-golang,0,0,0,2,0,0,1
poc-typescript,1,1,4,2,0,0,2
poc-viper,0,0,0,1,0,0,2
Practic,0,0,0,1,0,0,1
publicacoes,0,0,0,1,0,0,1
pull-request-action,31,6,1,1,0,1,2
read-java-properties-file,0,0,0,1,0,0,1
replace-values-action,0,0,32,1,0,0,2
repo-template,0,0,1,1,0,0,2
repo1,0,0,1,2,0,0,1
repositories-reports,2,1,12,1,2,5,2
ritchie-action-go-15,0,0,0,1,0,0,2
ritchie-action-java-8,0,0,0,1,1,1,2
ritchie-action-node,0,0,1,1,0,0,2
ritchie-action-python,0,0,0,1,0,1,2
ritchie-action-shell,0,0,0,1,0,0,2
ritchie-cli,0,0,0,30,0,0,1
ritchie-cli-action,0,0,2,1,1,2,2
ritchie-demo-create-cluster,1,1,2,1,2,1,2
ritchie-docker-images,2,1,1,1,0,1,2
ritchie-formulas,0,0,1,30,0,0,1
ritchie-formulas-demo,0,0,0,11,0,0,1
ritchie-formulas-scheduler-demo,147,44,2,1,3,5,3
ritchie-tdc-poa,0,0,1,1,1,1,2
ritchie-tdc-recife,0,0,0,1,0,1,2
ritchie-templates,0,0,0,1,0,1,1
ritchie-templates-perso,0,0,1,2,0,0,2
runtime-deploy,0,0,0,2,0,0,0
runtime-deploy-action,0,0,0,1,0,0,1
runtime-knowledge-sources,1,1,1,1,0,0,1
schemastore-stackspot,0,0,0,6,0,0,1
setup-rsync,57,9,7,2,3,9,2
setup-windows10-sdk-action,53,10,7,5,9,20,3
sign-and-notarize-gha,8,5,2,1,0,3,2
so-automation,0,0,0,1,0,0,1
splain,0,0,0,13,0,0,1
SSH-to-HTTPS,14,4,1,1,1,1,2
stackspot-actions,0,0,1,1,0,0,2
stackspot-plugins,0,0,2,1,0,1,2
stk-cli-action,0,0,1,2,0,0,1
stk-cli-action-poc,0,0,0,1,0,0,2
stk-quickstart-golang,0,0,3,1,0,0,2
test,0,0,3,2,0,0,1
TestCreateSecret,0,0,0,2,0,0,1
useful-actions,171,47,549,5,19,217,3
vagas,0,0,1,2,0,0,1
viagem,0,0,1,3,0,0,1
wait-on-check-action,0,0,0,10,0,0,1
wait-sleep-action,27,4,3,1,0,3,2
