Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
poc-remote-workflow,3,1,0,1,0,0,2
poc-rest-api-golang,0,0,2,1,0,0,2
poc-rest-api-python,0,0,0,2,0,0,2
poc-runtimes,0,0,0,2,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,0,0,5,2,0,1,2
poc-template-rest,0,0,10,2,0,0,1
poc-terraform,0,0,0,1,0,0,1
poc-testing-rest-api-golang,0,0,0,2,0,0,1
poc-typescript,0,0,7,2,0,0,2
poc-viper,0,0,1,1,0,0,2
Practic,0,0,0,1,0,0,1
publicacoes,0,0,0,1,0,0,1
pull-request-action,0,0,6,1,1,3,2
read-java-properties-file,0,0,0,1,0,0,1
replace-values-action,6,2,6,1,0,1,2
repo-template,0,0,0,1,0,0,2
repo1,0,0,0,2,0,0,1
repositories-reports,1,1,15,1,1,5,2
ritchie-action-go-15,0,0,4,1,0,0,2
ritchie-action-java-8,0,0,6,1,1,1,2
ritchie-action-node,0,0,1,1,0,0,2
ritchie-action-python,0,0,3,1,0,1,2
ritchie-action-shell,0,0,7,1,0,0,2
ritchie-cli,0,0,5,30,0,0,1
ritchie-cli-action,0,0,13,1,1,2,2
ritchie-demo-create-cluster,0,0,2,1,2,2,2
ritchie-docker-images,1,1,2,1,0,1,2
ritchie-formulas,0,0,11,30,0,0,1
ritchie-formulas-demo,0,0,2,11,0,0,1
ritchie-formulas-scheduler-demo,60,40,17,1,3,5,3
ritchie-tdc-poa,0,0,0,1,1,1,2
ritchie-tdc-recife,0,0,0,1,0,1,2
ritchie-templates,4,1,2,1,7,1,1
ritchie-templates-perso,0,0,1,2,0,0,2
runtime-deploy,0,0,2,2,0,0,1
runtime-deploy-action,0,0,0,1,0,0,1
runtime-knowledge-sources,0,0,0,1,0,0,1
schemastore-stackspot,0,0,1,6,0,0,1
setup-rsync,23,8,18,3,3,10,2
setup-windows10-sdk-action,40,19,16,7,16,29,3
sign-and-notarize-gha,12,5,8,1,1,8,2
so-automation,0,0,0,1,0,0,1
splain,0,0,8,12,0,0,1
SSH-to-HTTPS,1,1,1,1,1,1,2
stackspot-actions,0,0,25,1,0,0,1
stackspot-ai-rqc,12,5,55,2,1,7,1
stackspot-ai-security-action-poc,3,1,32,1,2,3,2
stackspot-plugins,0,0,1,1,0,1,2
stk-cli-action,0,0,0,2,0,0,1
stk-cli-action-poc,0,0,4,1,0,0,2
stk-quickstart-golang,0,0,3,1,0,0,2
test,0,0,10,2,0,0,1
TestCreateSecret,0,0,7,2,0,0,1
useful-actions,52,24,577,6,25,281,3
vagas,0,0,12,2,0,0,1
viagem,0,0,4,3,0,0,1
wait-on-check-action,0,0,12,10,0,0,1
wait-sleep-action,11,4,19,1,0,3,2
webhooks-python,6,2,0,1,0,0,2
write-java-properties-file,0,0,5,2,0,3,2
xcode-notarize,0,0,5,2,2,3,1
actions-download-file,9,2,4,5,0,0,1
Alphasians-AINA,0,0,1,2,0,0,1
amplify-vite-react-template,0,0,1,2,0,0,1
apisec-run-scan,0,0,0,4,0,0,1
article_foss4g2021,0,0,5,9,0,0,1
assert-command-line-output,12,7,21,3,3,19,2
awesome-chatgpt-prompts,0,0,0,30,0,0,1
aws-clis-action,0,0,0,1,0,4,2
aws-doc-sdk-examples,0,0,0,30,0,0,1
aws-ecs-cluster-using-terraform,0,0,6,1,0,0,2
bot-area,0,0,3,3,1,0,1
branch-exists,59,16,10,1,0,2,2
Calendly-mentores,0,0,3,2,0,0,1
clone-github-repo-action,86,35,19,3,21,49,3
cloud-formulas,0,0,1,2,0,1,1
command-output-file-action,6,4,8,1,0,2,2
convert-json-to-env,42,9,18,2,1,2,2
copy-push-files,1,1,3,1,4,2,2
create-other-repo-branch-action,27,14,14,2,6,11,2
CrossPipe-Connect,0,0,0,1,0,0,1
ctf-zup-2021,0,0,0,1,0,0,1
DescomplicandoDocker,0,0,0,2,0,0,1
developers-tips-and-tricks-resources,0,0,36,1,15,66,9
dezafio-java,0,0,0,2,0,0,1
dezafio-kotlin,0,0,0,3,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,2,0,0,3
diff-action,5,3,9,1,0,2,2
djangowallet,0,0,0,2,0,0,1
docker-mysql-python,3,2,11,1,4,9,3
docker-para-desenvolvedores,0,0,0,30,0,0,1
docs-ritchie,0,0,1,10,0,0,1
engineering-handbook,0,0,0,1,0,0,1
formulas-4-tests,0,0,4,2,0,2,2
formulas-aws,0,0,11,3,7,12,4
formulas-games,8,2,7,1,2,10,3
formulas-github,22,9,11,5,6,36,3
formulas-gRPC,0,0,9,2,0,3,2
formulas-insights,4,4,6,1,0,8,2
formulas-office-hours,0,0,3,1,0,1,2
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,0,1,0,1,2
formulas-python,1,1,7,2,3,17,3
formulas-training,0,0,92,1,0,0,1
formulas-v3,0,0,2,1,0,1,2
get-release-or-tag,1,1,5,1,0,0,1
git-commit-push,11,9,305,1,2,16,2
gitHub-projects,0,0,0,2,0,0,0
github-stack,0,0,2,1,0,0,2
github-team-members,1,1,5,1,0,1,2
github_actions_test,0,0,7,2,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,1,30,0,1,1
GuillaumeFalourd,13,6,168,3,107,47,4
guillaumefalourd.github.io,0,0,0,1,0,0,2
horusec-action,0,0,5,2,0,0,1
hypedsearch,6,1,9,3,0,0,1
idea-maze,0,0,10,3,0,0,1
install-poetry,0,0,2,15,0,0,1
java-exercices,229,29,17,9,13,36,3
java-training-api,43,9,11,2,43,105,4
java-trilha-basica,0,0,5,2,4,13,4
jobs-by-city-linkedin-reports,0,0,0,1,0,0,1
Kivy_calculator,0,0,5,2,0,0,1
kotlin-training-api,0,0,0,1,0,0,2
macos-installer-builder,0,0,0,3,0,0,1
mapas-mentais,0,0,0,2,0,1,1
maven-cli-jdks-action,0,0,3,1,0,0,2
my-contents,0,0,0,1,0,0,1
NFive,0,0,3,9,0,0,1
notary-tools,0,0,16,1,4,2,2
noticias,0,0,0,1,0,0,1
open-issue-action,2,2,3,1,1,2,2
oracle-plugins-new,0,0,0,3,0,0,0
os-cli-poc,0,0,0,1,0,0,1
phpunit,0,0,0,2,0,0,1
poc-ai,0,0,0,1,0,0,1
poc-bank-api-java,35,3,7,2,0,4,2
poc-bank-api-kotlin,0,0,0,2,0,0,1
poc-book-api-golang,0,0,8,1,0,0,2
poc-chalice-python,0,0,2,1,0,1,2
poc-cicd-herokuci,0,0,3,2,0,0,2
poc-cli-golang,0,0,1,2,0,1,2
poc-cli-python,0,0,0,2,0,0,3
poc-cli-translations,0,0,0,1,0,1,2
poc-composite-run-steps-action,0,0,4,1,0,0,2
poc-django-python,0,0,1,1,0,0,2
poc-encryption-jwt,0,0,2,2,3,8,2
poc-github-actions,731,258,990,4,103,313,5
poc-go-mod,0,0,2,1,0,0,2
poc-grpc-golang,0,0,7,2,0,0,2
poc-grpc-java-gradle,0,0,5,2,1,2,2
poc-grpc-java-maven,0,0,3,3,0,1,2
poc-grpc-python,1,1,16,1,0,0,2
poc-kafka-python,10,2,0,1,0,0,2
poc-kubernetes,0,0,0,1,0,0,1
poc-private-repo-actions,0,0,0,1,0,0,1
