Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
poc-proto,0,0,11,1,0,1,1
poc-pyinstaller,1,1,9,2,1,0,1
poc-pytest-split-github-actions,0,0,7,2,1,0,1
poc-remote-workflow,0,0,6,1,0,0,1
poc-rest-api-golang,0,0,9,1,0,0,1
poc-rest-api-python,0,0,9,2,0,0,1
poc-runtimes,0,0,1,2,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,4,2,43,2,0,1,1
poc-template-rest,0,0,2,2,0,0,0
poc-terraform,0,0,0,1,0,0,1
poc-testing-rest-api-golang,0,0,0,2,0,0,1
poc-typescript,0,0,9,2,0,0,1
poc-viper,0,0,7,1,0,0,1
Practic,0,0,4,1,0,0,0
publicacoes,0,0,1,1,0,0,0
pull-request-action,0,0,6,1,1,2,1
read-java-properties-file,0,0,0,1,0,0,1
replace-values-action,0,0,7,1,0,1,1
repo-template,0,0,7,1,0,0,1
repo1,0,0,7,2,0,0,0
repositories-reports,2,2,46,1,1,5,1
ritchie-action-go-15,0,0,13,1,0,0,1
ritchie-action-java-8,0,0,9,1,1,1,1
ritchie-action-node,0,0,10,1,0,0,1
ritchie-action-python,0,0,9,1,0,1,1
ritchie-action-shell,0,0,11,1,0,0,1
ritchie-cli,1,1,2,30,0,0,0
ritchie-cli-action,0,0,10,1,1,2,1
ritchie-demo-create-cluster,0,0,6,1,2,1,1
ritchie-docker-images,0,0,10,1,0,1,1
ritchie-formulas,0,0,2,30,0,0,0
ritchie-formulas-demo,0,0,2,11,0,0,0
ritchie-formulas-scheduler-demo,5,5,10,1,4,5,2
ritchie-tdc-poa,0,0,6,1,1,1,1
ritchie-tdc-recife,0,0,5,1,0,1,1
ritchie-templates,0,0,8,1,7,1,0
ritchie-templates-perso,0,0,7,2,0,0,1
runtime-deploy,0,0,7,2,0,0,0
runtime-deploy-action,0,0,0,1,0,0,1
runtime-knowledge-sources,0,0,0,1,0,0,1
schemastore-stackspot,0,0,3,6,0,0,0
setup-rsync,10,5,31,3,3,11,1
setup-windows10-sdk-action,28,22,16,7,16,32,2
sign-and-notarize-gha,15,4,6,1,1,12,1
so-automation,0,0,0,1,0,0,1
splain,0,0,2,12,0,0,0
SSH-to-HTTPS,3,1,9,1,1,1,1
stackspot-actions,0,0,16,1,0,0,1
stackspot-ai-rqc,0,0,107,2,1,7,1
stackspot-ai-security-action-poc,1,1,90,1,2,3,2
stackspot-plugins,0,0,5,1,0,1,1
stk-cli-action,0,0,3,2,0,0,0
stk-cli-action-poc,1,1,6,1,0,0,1
stk-quickstart-golang,0,0,7,1,0,0,1
test,0,0,5,2,0,0,0
TestCreateSecret,0,0,2,2,0,0,0
useful-actions,255,188,771,6,27,307,1
vagas,0,0,3,2,0,0,0
viagem,0,0,2,3,0,0,0
wait-on-check-action,0,0,1,10,0,0,0
wait-sleep-action,8,5,12,1,0,3,1
webhooks-python,0,0,6,1,0,0,1
write-java-properties-file,0,0,6,2,0,3,1
xcode-notarize,2,2,4,2,2,2,0
actions-download-file,1,1,3,5,0,0,0
Alphasians-AINA,0,0,7,2,0,0,0
amplify-vite-react-template,1,1,12,2,0,0,1
apisec-run-scan,0,0,1,4,0,0,0
article_foss4g2021,0,0,1,9,0,0,0
assert-command-line-output,15,15,11,3,3,19,1
awesome-chatgpt-prompts,0,0,1,30,0,0,0
aws-clis-action,1,1,6,1,0,4,1
aws-doc-sdk-examples,0,0,1,30,0,0,0
aws-ecs-cluster-using-terraform,0,0,6,1,0,0,1
bot-area,0,0,8,3,1,0,0
branch-exists,36,9,112,2,1,2,1
Calendly-mentores,0,0,4,2,0,0,0
certifications,21,1,1,1,0,0,0
clone-github-repo-action,26,9,17,3,22,53,1
cloud-formulas,0,0,2,2,0,1,0
command-output-file-action,1,1,6,1,0,2,1
convert-json-to-env,4,4,8,2,1,2,1
copy-push-files,22,5,97,1,4,3,1
create-other-repo-branch-action,12,5,9,2,6,11,1
CrossPipe-Connect,0,0,0,1,0,0,1
ctf-zup-2021,0,0,1,1,0,0,0
desafio-hackathon-zup-byte,1,1,9,2,0,2,0
DescomplicandoDocker,0,0,2,2,0,0,0
developers-tips-and-tricks-resources,3,3,14,1,15,63,8
dezafio-java,0,0,0,2,0,0,1
dezafio-kotlin,0,0,0,3,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,1,2,0,0,3
diff-action,2,2,8,1,0,3,1
djangowallet,0,0,7,2,0,0,0
docker-mysql-python,9,1,12,1,3,10,2
docker-para-desenvolvedores,0,0,1,30,0,0,0
docs-ritchie,0,0,5,10,0,0,0
engineering-handbook,0,0,0,1,0,0,1
formulas-4-tests,1,1,9,2,0,2,1
formulas-aws,0,0,14,3,7,12,3
formulas-games,43,13,13,1,2,11,2
formulas-github,12,7,9,5,6,35,2
formulas-gRPC,0,0,8,2,0,3,1
formulas-insights,4,4,9,1,0,8,1
formulas-office-hours,1,1,9,1,0,1,1
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,5,1,0,1,1
formulas-python,3,3,10,2,3,17,2
formulas-training,0,0,119,1,0,0,1
formulas-v3,1,1,7,1,0,1,1
get-release-or-tag,3,1,1,1,0,0,0
git-commit-push,13,6,637,1,2,17,1
gitHub-projects,0,0,0,2,0,0,0
github-stack,0,0,8,1,0,0,1
github-team-members,1,1,6,1,0,2,1
github_actions_test,2,2,7,2,0,0,0
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,1,30,0,1,0
GuillaumeFalourd,68,59,465,3,100,47,3
guillaumefalourd.github.io,0,0,7,1,0,0,1
horusec-action,0,0,3,2,0,0,0
hypedsearch,0,0,3,3,0,0,0
idea-maze,1,1,6,3,0,0,0
install-poetry,0,0,1,15,0,0,0
it-governance-api,1,1,8,1,1,0,0
java-exercices,451,98,20,11,16,56,2
java-training-api,33,10,45,2,43,107,3
java-trilha-basica,10,4,8,2,3,14,3
jobs-by-city-linkedin-reports,0,0,0,1,0,0,1
Kivy_calculator,0,0,8,2,0,0,0
kotlin-training-api,0,0,7,1,0,0,1
macos-installer-builder,0,0,2,3,0,0,0
mapas-mentais,0,0,4,2,0,1,0
maven-cli-jdks-action,6,6,7,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,0,0,3,9,0,0,0
notary-tools,0,0,9,1,4,4,1
noticias,0,0,1,1,0,0,0
open-issue-action,0,0,6,1,1,2,1
oracle-plugins-new,0,0,0,3,0,0,0
os-cli-poc,0,0,0,1,0,0,1
phpunit,0,0,2,2,0,0,0
poc-ai,0,0,0,1,0,0,1
poc-bank-api-java,3,2,7,2,0,4,1
poc-bank-api-kotlin,0,0,0,2,0,0,1
poc-book-api-golang,0,0,6,1,0,0,1
poc-chalice-python,0,0,6,1,0,1,1
poc-cicd-herokuci,0,0,18,2,0,0,1
poc-cli-golang,0,0,7,2,0,1,1
poc-cli-python,0,0,5,2,0,0,2
poc-cli-translations,0,0,6,1,0,1,1
poc-composite-run-steps-action,0,0,6,1,0,0,1
poc-django-python,0,0,4,1,0,0,1
poc-encryption-jwt,0,0,7,2,3,8,1
poc-github-actions,793,760,2416,4,104,331,5
poc-go-mod,0,0,8,1,0,0,1
poc-grpc-golang,0,0,11,2,0,0,1
poc-grpc-java-gradle,0,0,7,2,1,2,1
poc-grpc-java-maven,0,0,7,3,0,1,1
poc-grpc-python,0,0,8,1,0,0,1
poc-kafka-python,0,0,5,1,0,0,1
poc-kubernetes,0,0,7,1,0,0,1
poc-private-repo-actions,0,0,0,1,0,0,1
