Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
ritchie-cli-action,4,1,0,1,1,2,1
ritchie-demo-create-cluster,3,2,0,1,0,0,1
ritchie-docker-images,7,3,0,1,0,1,1
ritchie-formulas,8,1,0,30,0,0,0
ritchie-formulas-demo,0,0,0,11,0,0,0
ritchie-formulas-scheduler-demo,45,32,0,1,3,5,2
ritchie-tdc-poa,0,0,0,1,1,1,1
ritchie-tdc-recife,0,0,0,1,0,1,1
ritchie-templates,0,0,0,1,0,1,0
ritchie-templates-perso,1,1,0,2,0,0,1
setup-rsync,10,3,0,1,0,2,1
setup-windows10-sdk-action,43,17,1,4,7,14,1
sign-and-notarize-gha,7,5,1,1,0,1,1
so-automation,0,0,0,1,0,0,1
splain,5,2,0,14,0,0,0
SSH-to-HTTPS,2,2,0,1,2,1,1
stk-cli-action-poc,99,4,35,1,0,0,1
stk-quickstart-golang,0,0,0,1,0,0,1
test,0,0,0,2,0,0,0
useful-actions,71,47,510,4,7,153,1
vagas,0,0,0,2,0,0,0
wait-on-check-action,0,0,0,10,0,0,0
wait-sleep-action,3,1,0,1,0,0,1
webhooks-python,0,0,1,1,0,0,1
xcode-notarize,0,0,0,2,0,0,0
actions-download-file,3,1,0,5,0,0,0
Alphasians-AINA,0,0,0,2,0,0,0
apisec-run-scan,0,0,0,4,0,0,0
article_foss4g2021,0,0,0,9,0,0,0
assert-command-line-output,35,16,2,1,2,10,1
aws-clis-action,16,1,0,1,0,4,1
aws-doc-sdk-examples,0,0,0,30,0,0,0
bot-area,0,0,0,3,1,0,0
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,249,115,3,1,3,19,2
cloud-formulas,0,0,0,2,0,1,0
command-output-file-action,1,1,0,1,0,0,1
convert-json-to-env,15,8,0,1,0,0,1
copy-push-files,7,6,0,1,3,1,1
create-other-repo-branch-action,31,16,0,2,2,3,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,19,3,2,1,16,59,8
dezafio-java,0,0,0,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,1,0,0,3
diff-action,23,4,0,1,1,2,1
djangowallet,2,1,0,2,0,0,0
docker-mysql-python,801,213,20,1,0,7,2
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,0,10,0,0,0
formulas-4-tests,0,0,0,2,0,1,1
formulas-aws,18,6,1,2,5,13,3
formulas-games,44,9,3,1,1,10,2
formulas-github,184,30,8,5,6,33,2
formulas-gRPC,0,0,0,1,0,3,1
formulas-insights,2,2,0,1,0,7,1
formulas-office-hours,1,1,0,1,0,1,1
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,1,1,0,1,1
formulas-python,15,4,10,2,3,18,3
formulas-training,0,0,52,1,0,0,1
formulas-v3,0,0,0,1,0,1,1
git-commit-push,86,18,230,1,0,5,1
github-stack,83,4,5832,1,2,0,1
github_actions_test,0,0,0,2,0,0,0
go-authenticator,0,0,0,1,0,0,1
good-first-issue,1,1,0,30,0,1,0
GuillaumeFalourd,79,31,161,3,85,35,2
guillaumefalourd.github.io,5,1,1,1,0,0,1
horusec-action,0,0,0,2,0,0,0
hypedsearch,3,1,0,3,0,0,0
java-exercices,41,16,1,9,12,16,2
java-training-api,98,12,4,2,43,90,3
java-trilha-basica,0,0,1,2,4,11,3
jobs-by-city-linkedin-reports,0,0,2,1,0,0,1
Kivy_calculator,0,0,2,2,0,0,0
macos-installer-builder,12,1,0,3,0,0,0
