Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
Alphasians-AINA,1,1,0,2,0,0,0
apisec-run-scan,3,1,0,4,0,0,0
article_foss4g2021,0,0,0,9,0,0,0
assert-command-line-output,80,5,210,1,0,5,1
aws-clis-action,5,1,2,1,0,4,1
aws-doc-sdk-examples,0,0,0,30,0,0,0
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,107,33,4,1,0,6,1
cloud-formulas,0,0,0,2,0,1,0
command-output-file-action,0,0,0,1,0,0,1
create-other-repo-branch-action,11,11,2,1,0,1,1
ctf-zup-2021,1,1,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,36,7,2,1,14,51,7
dezafio,2,1,0,2,0,0,1
diff-action,17,2,2,1,0,2,1
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,0,10,0,0,0
formulas-4-tests,9,1,1,2,0,1,1
formulas-aws,15,2,5,2,3,10,3
formulas-games,51,10,3,1,1,10,2
formulas-github,101,14,0,5,6,27,2
formulas-gRPC,1,1,1,1,0,3,1
formulas-insights,1,1,2,1,0,4,1
formulas-office-hours,0,0,1,1,0,1,1
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,1,1,0,1,1
formulas-python,14,4,8,2,3,16,3
formulas-training,0,0,14,1,0,0,1
formulas-v3,0,0,1,1,0,1,1
git-commit-push,153,22,285,1,0,1,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,0,30,0,1,0
GuillaumeFalourd,33,12,254,3,71,28,2
guillaumefalourd.github.io,3,3,1,1,0,0,1
hypedsearch,6,2,0,3,0,0,0
java-exercices,25,9,2,9,11,7,2
java-training-api,91,17,1,2,31,79,3
java-trilha-basica,28,5,1,2,2,7,3
jobs-by-city-linkedin-reports,0,0,2,1,0,0,1
Kivy_calculator,1,1,0,2,0,0,0
mapas-mentais,15,4,1,2,0,2,0
maven-cli-jdks-action,1,1,0,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,3,1,0,9,0,0,0
noticias,0,0,0,1,0,0,0
open-issue-action,26,9,4,1,0,0,1
os-cli-poc,0,0,0,1,0,0,1
poc-bank-api-java,22,2,1,1,0,3,1
poc-bank-api-kotlin,0,0,4,2,0,0,1
poc-book-api-golang,0,0,1,1,0,0,1
poc-chalice-python,0,0,2,1,0,1,1
poc-cicd-herokuci,0,0,1,1,0,0,1
poc-cli-golang,0,0,0,1,0,0,1
poc-composite-run-steps-action,0,0,0,1,0,0,1
poc-django-python,0,0,0,1,0,0,1
poc-github-actions,252,60,291,2,6,11,1
poc-go-mod,0,0,1,1,0,0,1
poc-grpc-golang,0,0,79,1,0,0,1
poc-grpc-java-gradle,0,0,1,2,0,2,1
poc-grpc-java-maven,0,0,1,1,0,1,1
poc-grpc-python,0,0,0,1,0,0,1
poc-kafka-python,0,0,1,1,0,0,1
poc-private-repo-actions,0,0,0,1,0,0,1
poc-proto,0,0,1,1,0,1,1
poc-rest-api-golang,0,0,0,1,0,0,1
poc-rest-api-python,0,0,0,1,0,0,1
poc-template-rest,0,0,0,2,0,0,0
poc-typescript,3,1,0,1,0,0,1
poc-viper,0,0,1,1,0,0,1
publicacoes,0,0,0,1,0,0,0
repo-template,0,0,1,1,0,0,1
repositories-reports,4,2,9,1,1,1,1
ritchie-action-go-15,0,0,0,1,0,0,1
ritchie-action-java-8,0,0,0,1,1,1,1
ritchie-action-node,0,0,0,1,0,0,1
ritchie-action-python,0,0,0,1,0,1,1
ritchie-action-shell,0,0,1,1,0,0,1
ritchie-cli,12,1,31,30,0,0,0
ritchie-cli-action,0,0,3,1,1,2,1
ritchie-demo-create-cluster,0,0,2,1,0,0,1
ritchie-docker-images,1,1,1,1,0,1,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,11,0,0,0
ritchie-formulas-scheduler-demo,6,3,28,1,2,5,2
ritchie-tdc-poa,0,0,0,1,0,1,1
ritchie-tdc-recife,0,0,0,1,0,1,1
ritchie-templates,0,0,0,1,0,1,0
ritchie-templates-perso,0,0,0,2,0,0,1
setup-windows10-sdk-action,22,14,2,2,2,8,1
so-automation,0,0,0,1,0,0,1
splain,116,2,31,14,0,0,0
SSH-to-HTTPS,6,2,3,1,0,0,1
useful-actions,52,19,325,3,3,18,1
vagas,1,1,0,2,0,0,0
