Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
ritchie-docker-images,5,3,0,1,0,1,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,1,11,0,0,0
ritchie-formulas-scheduler-demo,38,25,0,1,3,5,2
ritchie-tdc-poa,0,0,0,1,1,1,1
ritchie-tdc-recife,0,0,0,1,0,1,1
ritchie-templates,0,0,0,1,0,1,0
ritchie-templates-perso,1,1,2,2,0,0,1
setup-rsync,20,5,5,1,0,2,1
setup-windows10-sdk-action,38,12,34,3,4,11,1
sign-and-notarize-gha,14,10,0,1,0,1,1
so-automation,0,0,0,1,0,0,1
splain,0,0,2,14,0,0,0
SSH-to-HTTPS,2,1,5,1,1,1,1
stk-quickstart-golang,2,2,4,1,0,0,1
test,0,0,0,2,0,0,0
useful-actions,126,38,479,4,7,139,1
vagas,0,0,0,2,0,0,0
wait-on-check-action,0,0,0,10,0,0,0
wait-sleep-action,0,0,5,1,0,0,1
webhooks-python,0,0,1,1,0,0,1
xcode-notarize,1,1,4,2,0,0,0
actions-download-file,0,0,0,5,0,0,0
Alphasians-AINA,0,0,1,2,0,0,0
apisec-run-scan,0,0,0,4,0,0,0
article_foss4g2021,0,0,2,9,0,0,0
assert-command-line-output,30,7,5,1,2,10,1
aws-clis-action,5,1,5,1,0,4,1
aws-doc-sdk-examples,0,0,2,30,0,0,0
bot-area,0,0,1,3,1,0,0
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,225,84,7,1,1,16,2
cloud-formulas,0,0,0,2,0,1,0
command-output-file-action,0,0,5,1,0,0,1
convert-json-to-env,28,2,6,1,0,0,1
copy-push-files,49,11,5,1,3,1,1
create-other-repo-branch-action,17,13,5,2,1,3,1
ctf-zup-2021,0,0,2,1,0,0,0
DescomplicandoDocker,0,0,2,2,0,0,0
developers-tips-and-tricks-resources,39,6,1,1,16,59,7
dezafio-java,0,0,0,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,1,0,0,3
diff-action,3,1,5,1,0,2,1
djangowallet,0,0,0,2,0,0,0
docker-para-desenvolvedores,0,0,2,30,0,0,0
docs-ritchie,0,0,1,10,0,0,0
formulas-4-tests,2,2,1,2,0,1,1
formulas-aws,17,5,5,2,5,13,3
formulas-games,53,10,4,1,1,10,2
formulas-github,129,37,3,5,6,33,2
formulas-gRPC,1,1,0,1,0,3,1
formulas-insights,3,2,8,1,0,6,1
formulas-office-hours,0,0,0,1,0,1,1
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,4,1,0,1,1
formulas-python,5,2,7,2,3,18,3
formulas-training,0,0,52,1,0,0,1
formulas-v3,0,0,4,1,0,1,1
git-commit-push,25,6,243,1,0,5,1
github-stack,111,4,26,1,0,0,1
github_actions_test,0,0,1,2,0,0,0
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,0,30,0,1,0
GuillaumeFalourd,27,12,180,3,77,34,2
guillaumefalourd.github.io,0,0,0,1,0,0,1
horusec-action,0,0,1,2,0,0,0
hypedsearch,47,8,3,3,0,0,0
java-exercices,418,49,5,9,12,14,2
