Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
read-java-properties-file,0,0,0,1,0,0,1
repo-template,1,1,0,1,0,0,1
repo1,0,0,0,2,0,0,0
repositories-reports,3,1,9,1,1,4,1
ritchie-action-go-15,0,0,0,1,0,0,1
ritchie-action-java-8,0,0,0,1,1,1,1
ritchie-action-node,0,0,0,1,0,0,1
ritchie-action-python,0,0,0,1,0,1,1
ritchie-action-shell,0,0,1,1,0,0,1
ritchie-cli,2,1,0,30,0,0,0
ritchie-cli-action,0,0,1,1,1,2,1
ritchie-demo-create-cluster,15,2,0,1,1,1,1
ritchie-docker-images,8,3,0,1,0,1,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,11,0,0,0
ritchie-formulas-scheduler-demo,67,31,0,1,3,5,2
ritchie-tdc-poa,0,0,1,1,1,1,1
ritchie-tdc-recife,5,1,0,1,0,1,1
ritchie-templates,0,0,2,1,0,1,0
ritchie-templates-perso,0,0,0,2,0,0,1
schemastore-stackspot,0,0,0,6,0,0,0
setup-rsync,37,11,1,1,2,6,1
setup-windows10-sdk-action,41,11,5,5,9,19,1
sign-and-notarize-gha,13,11,0,1,0,2,1
so-automation,0,0,0,1,0,0,1
splain,0,0,0,14,0,0,0
SSH-to-HTTPS,8,1,0,1,1,1,1
stk-cli-action-poc,0,0,1,1,0,0,1
stk-quickstart-golang,0,0,1,1,0,0,1
test,0,0,1,2,0,0,0
TestCreateSecret,0,0,0,2,0,0,0
useful-actions,134,67,531,4,12,187,2
vagas,0,0,0,2,0,0,0
viagem,1,1,16,3,0,0,0
wait-on-check-action,0,0,0,10,0,0,0
wait-sleep-action,3,1,0,1,0,0,1
webhooks-python,0,0,0,1,0,0,1
write-java-properties-file,32,3,0,1,0,2,1
xcode-notarize,3,2,1,2,0,0,0
actions-download-file,0,0,0,5,0,0,0
Alphasians-AINA,2,1,0,2,0,0,0
apisec-run-scan,0,0,0,4,0,0,0
article_foss4g2021,0,0,0,9,0,0,0
assert-command-line-output,8,5,6,2,3,13,1
awesome-chatgpt-prompts,1,1,1,30,0,0,0
aws-clis-action,14,2,0,1,0,4,1
aws-doc-sdk-examples,0,0,0,30,0,0,0
bot-area,0,0,0,3,1,0,0
branch-exists,0,0,1,1,0,0,1
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,341,111,3,1,11,28,2
cloud-formulas,0,0,0,2,0,1,0
command-output-file-action,0,0,0,1,0,1,1
convert-json-to-env,36,14,0,1,0,1,1
copy-push-files,36,6,1,1,3,1,1
create-other-repo-branch-action,59,12,5,3,5,8,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,41,5,3,1,16,62,8
dezafio-java,0,0,0,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,2,0,0,3
diff-action,11,4,10,1,0,2,1
djangowallet,5,5,0,2,0,0,0
docker-mysql-python,41,11,3,1,4,11,2
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,0,10,0,0,0
formulas-4-tests,0,0,1,2,0,2,1
formulas-aws,18,7,10,3,7,13,3
formulas-games,40,11,1,1,2,10,2
formulas-github,101,20,4,5,6,36,2
formulas-gRPC,0,0,1,2,0,3,1
formulas-insights,5,3,2,1,0,7,1
formulas-office-hours,0,0,1,1,0,1,1
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,0,1,0,1,1
