Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
ritchie-cli,0,0,1,30,0,0,0
ritchie-cli-action,4,1,0,1,1,2,1
ritchie-demo-create-cluster,4,3,0,1,0,0,1
ritchie-docker-images,9,5,0,1,0,1,1
ritchie-formulas,8,1,0,30,0,0,0
ritchie-formulas-demo,0,0,0,11,0,0,0
ritchie-formulas-scheduler-demo,45,29,0,1,3,5,2
ritchie-tdc-poa,0,0,0,1,1,1,1
ritchie-tdc-recife,0,0,0,1,0,1,1
ritchie-templates,0,0,0,1,0,1,0
ritchie-templates-perso,1,1,0,2,0,0,1
setup-rsync,4,4,0,1,1,3,1
setup-windows10-sdk-action,32,15,2,4,7,14,1
sign-and-notarize-gha,8,3,0,1,0,1,1
so-automation,0,0,0,1,0,0,1
splain,5,2,1,14,0,0,0
SSH-to-HTTPS,2,1,0,1,3,1,1
stk-cli-action-poc,100,5,35,1,0,0,1
stk-quickstart-golang,0,0,0,1,0,0,1
test,0,0,0,2,0,0,0
useful-actions,83,49,549,4,7,154,1
vagas,0,0,0,2,0,0,0
wait-on-check-action,0,0,0,10,0,0,0
wait-sleep-action,0,0,0,1,1,0,1
webhooks-python,0,0,0,1,0,0,1
xcode-notarize,0,0,0,2,0,0,0
actions-download-file,3,1,0,5,0,0,0
Alphasians-AINA,0,0,0,2,0,0,0
apisec-run-scan,0,0,0,4,0,0,0
article_foss4g2021,0,0,0,9,0,0,0
assert-command-line-output,33,20,2,1,3,11,1
aws-clis-action,19,2,0,1,1,4,1
aws-doc-sdk-examples,0,0,0,30,0,0,0
bot-area,0,0,0,3,1,0,0
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,229,101,10,1,3,19,2
cloud-formulas,0,0,0,2,0,1,0
command-output-file-action,0,0,0,1,1,0,1
convert-json-to-env,14,7,0,1,1,1,1
copy-push-files,9,6,0,1,4,1,1
create-other-repo-branch-action,36,21,0,2,3,3,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,14,3,4,1,16,59,8
dezafio-java,0,0,0,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,2,1,0,1,0,0,3
diff-action,30,5,0,1,1,2,1
djangowallet,2,1,0,2,0,0,0
docker-mysql-python,809,234,15,1,0,7,2
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,0,10,0,0,0
formulas-4-tests,1,1,0,2,0,1,1
formulas-aws,55,6,2,2,5,13,3
formulas-games,29,8,4,1,1,10,2
formulas-github,151,30,5,5,6,34,2
formulas-gRPC,0,0,0,1,0,3,1
formulas-insights,2,2,0,1,0,7,1
formulas-office-hours,1,1,0,1,0,1,1
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,0,1,0,1,1
formulas-python,16,5,7,2,3,18,3
formulas-training,0,0,49,1,0,0,1
formulas-v3,0,0,0,1,0,1,1
git-commit-push,28,12,176,1,0,5,1
github-stack,43,3,7935,1,2,0,1
github_actions_test,0,0,0,2,0,0,0
go-authenticator,0,0,0,1,0,0,1
good-first-issue,1,1,0,30,0,1,0
GuillaumeFalourd,51,20,113,3,87,35,2
guillaumefalourd.github.io,0,0,0,1,0,0,1
horusec-action,3,1,0,2,0,0,0
hypedsearch,9,1,0,3,0,0,0
java-exercices,69,22,1,9,12,16,2
java-training-api,59,6,4,2,43,90,3
java-trilha-basica,0,0,1,2,4,11,3
jobs-by-city-linkedin-reports,0,0,2,1,0,0,1
Kivy_calculator,0,0,2,2,0,0,0
macos-installer-builder,12,1,0,3,0,0,0
mapas-mentais,0,0,0,2,0,1,0
maven-cli-jdks-action,16,5,0,1,1,0,1
my-contents,0,0,0,1,0,0,1
NFive,0,0,0,9,0,0,0
noticias,0,0,0,1,0,0,0
open-issue-action,35,8,1,1,1,2,1
os-cli-poc,0,0,0,1,0,0,1
poc-bank-api-java,12,3,0,2,0,2,1
poc-bank-api-kotlin,0,0,0,2,1,0,1
poc-book-api-golang,0,0,0,1,0,0,1
poc-chalice-python,0,0,0,1,0,1,1
poc-cicd-herokuci,0,0,1,1,0,0,1
poc-cli-golang,0,0,0,1,0,0,1
poc-cli-python,0,0,0,2,0,0,2
poc-cli-translations,27,3,5,1,0,0,1
poc-composite-run-steps-action,0,0,0,1,0,0,1
poc-django-python,0,0,0,1,0,0,1
poc-encryption-jwt,0,0,0,2,3,7,1
poc-github-actions,1962,466,702,2,28,58,2
poc-go-mod,0,0,0,1,0,0,1
poc-grpc-golang,0,0,363,1,0,0,1
poc-grpc-java-gradle,0,0,1,2,0,2,1
poc-grpc-java-maven,0,0,0,1,0,1,1
poc-grpc-python,0,0,0,1,0,0,1
poc-kafka-python,1,1,1,1,0,0,1
poc-private-repo-actions,0,0,0,1,0,0,1
poc-proto,0,0,0,1,0,1,1
poc-pyinstaller,0,0,0,2,1,0,1
poc-pytest-split-github-actions,13,1,0,1,1,0,1
poc-rest-api-golang,0,0,0,1,0,0,1
poc-rest-api-python,3,1,0,1,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,0,0,0,2,0,1,1
poc-template-rest,0,0,0,2,0,0,0
poc-typescript,1,1,0,2,0,0,1
poc-viper,0,0,0,1,0,0,1
Practic,0,0,0,1,0,0,0
publicacoes,0,0,0,1,0,0,0
pull-request-action,5,2,0,1,0,1,1
repo-template,3,2,0,1,0,0,1
repo1,0,0,0,2,0,0,0
repositories-reports,2,2,4,1,1,3,1
ritchie-action-go-15,0,0,0,1,1,0,1
ritchie-action-java-8,4,1,0,1,2,1,1
ritchie-action-node,0,0,0,1,1,0,1
ritchie-action-python,0,0,0,1,1,1,1
ritchie-action-shell,0,0,0,1,0,0,1
