Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
read-java-properties-file,0,0,0,1,0,0,1
repo-template,0,0,2,1,0,0,1
repo1,1,1,1,2,0,0,0
repositories-reports,1,1,11,1,1,4,1
ritchie-action-go-15,0,0,2,1,0,0,1
ritchie-action-java-8,0,0,2,1,1,1,1
ritchie-action-node,0,0,2,1,0,0,1
ritchie-action-python,0,0,5,1,0,1,1
ritchie-action-shell,0,0,4,1,0,0,1
ritchie-cli,0,0,3,30,0,0,0
ritchie-cli-action,1,1,1,1,1,2,1
ritchie-demo-create-cluster,2,1,2,1,1,1,1
ritchie-docker-images,5,3,1,1,0,1,1
ritchie-formulas,0,0,1,30,0,0,0
ritchie-formulas-demo,0,0,1,11,0,0,0
ritchie-formulas-scheduler-demo,31,21,3,1,3,5,2
ritchie-tdc-poa,0,0,1,1,1,1,1
ritchie-tdc-recife,0,0,1,1,0,1,1
ritchie-templates,0,0,1,1,0,1,0
ritchie-templates-perso,0,0,1,2,0,0,1
schemastore-stackspot,2,2,0,6,0,0,0
setup-rsync,25,8,2,1,2,6,1
setup-windows10-sdk-action,22,11,6,5,8,18,1
sign-and-notarize-gha,19,14,2,1,0,2,1
so-automation,0,0,0,1,0,0,1
splain,0,0,2,14,0,0,0
SSH-to-HTTPS,18,4,2,1,1,1,1
stk-cli-action-poc,1,1,1,1,0,0,1
stk-quickstart-golang,0,0,1,1,0,0,1
test,0,0,1,2,0,0,0
TestCreateSecret,0,0,1,2,0,0,0
useful-actions,104,61,540,4,12,183,2
vagas,0,0,1,2,0,0,0
wait-on-check-action,1,1,1,10,0,0,0
wait-sleep-action,9,5,2,1,0,0,1
webhooks-python,0,0,2,1,0,0,1
write-java-properties-file,0,0,2,1,0,2,1
xcode-notarize,3,3,1,2,0,0,0
actions-download-file,24,1,1,5,0,0,0
Alphasians-AINA,10,2,1,2,0,0,0
apisec-run-scan,0,0,1,4,0,0,0
article_foss4g2021,0,0,1,9,0,0,0
assert-command-line-output,25,13,12,2,3,13,1
awesome-chatgpt-prompts,1,1,1,30,0,0,0
aws-clis-action,2,1,3,1,0,4,1
aws-doc-sdk-examples,1,1,0,30,0,0,0
bot-area,0,0,1,3,1,0,0
branch-exists,10,2,4,1,0,0,1
Calendly-mentores,0,0,1,2,0,0,0
clone-github-repo-action,211,100,3,1,7,27,2
cloud-formulas,0,0,1,2,0,1,0
command-output-file-action,13,2,2,1,0,1,1
convert-json-to-env,12,6,1,1,0,1,1
copy-push-files,33,11,2,1,3,1,1
create-other-repo-branch-action,24,21,1,3,5,8,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,28,2,7,1,16,61,8
dezafio-java,0,0,0,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,2,0,0,3
diff-action,0,0,1,1,0,2,1
djangowallet,0,0,1,2,0,0,0
docker-mysql-python,138,15,3,1,4,11,2
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,1,10,0,0,0
formulas-4-tests,0,0,5,2,0,2,1
formulas-aws,14,4,40,3,7,13,3
formulas-games,247,13,4,1,2,10,2
formulas-github,74,26,12,5,6,36,2
formulas-gRPC,11,2,32,2,0,3,1
formulas-insights,3,2,6,1,0,7,1
formulas-office-hours,0,0,2,1,0,1,1
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,9,1,0,1,1
formulas-python,7,5,4,2,3,18,3
formulas-training,0,0,52,1,0,0,1
formulas-v3,0,0,2,1,0,1,1
git-commit-push,54,21,227,1,1,7,2
github-stack,2,2,2012,1,0,0,1
github-team-members,13,3,1,1,0,0,1
github_actions_test,0,0,1,2,0,0,0
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,1,30,0,1,0
GuillaumeFalourd,96,28,122,3,97,39,3
guillaumefalourd.github.io,0,0,1,1,0,0,1
horusec-action,0,0,1,2,0,0,0
hypedsearch,46,3,1,3,0,0,0
idea-maze,2,2,1,2,0,0,0
install-poetry,0,0,1,15,0,0,0
java-exercices,93,19,11,9,13,23,2
java-training-api,74,10,8,2,46,92,3
java-trilha-basica,4,2,2,2,4,11,3
jobs-by-city-linkedin-reports,0,0,0,1,0,0,1
Kivy_calculator,0,0,1,2,0,0,0
macos-installer-builder,0,0,0,3,0,0,0
mapas-mentais,0,0,1,2,0,1,0
maven-cli-jdks-action,5,3,1,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,21,1,2,9,0,0,0
noticias,0,0,1,1,0,0,0
open-issue-action,17,11,3,1,1,2,1
os-cli-poc,2,1,6,1,0,0,1
poc-bank-api-java,12,3,3,2,0,4,1
poc-bank-api-kotlin,8,2,1,2,1,0,1
poc-book-api-golang,0,0,3,1,0,0,1
poc-chalice-python,0,0,1,1,0,1,1
poc-cicd-herokuci,0,0,1,1,0,0,1
poc-cli-golang,13,2,16,2,0,1,1
poc-cli-python,1,1,1,2,0,0,2
poc-cli-translations,0,0,9,1,0,0,1
poc-composite-run-steps-action,0,0,1,1,0,0,1
poc-django-python,0,0,2,1,0,0,1
poc-encryption-jwt,1,1,2,2,3,7,1
poc-github-actions,2872,593,1553,2,52,118,3
poc-go-mod,0,0,3,1,0,0,1
poc-grpc-golang,4,1,585,1,0,0,1
poc-grpc-java-gradle,1,1,4,2,0,2,1
poc-grpc-java-maven,3,2,1,2,0,1,1
poc-grpc-python,0,0,4,1,0,0,1
poc-kafka-python,0,0,3,1,0,0,1
poc-private-repo-actions,0,0,0,1,0,0,1
poc-proto,0,0,58,1,0,1,1
poc-pyinstaller,1,1,2,2,1,0,1
poc-pytest-split-github-actions,0,0,1,1,1,0,1
poc-rest-api-golang,0,0,3,1,0,0,1
poc-rest-api-python,0,0,1,1,0,0,1
poc-runtimes,0,0,0,1,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,4,2,19,2,0,2,1
poc-template-rest,0,0,1,2,0,0,0
poc-terraform,0,0,0,1,0,0,1
poc-testing-rest-api-golang,0,0,2,1,0,0,1
poc-typescript,0,0,15,2,0,0,1
poc-viper,2,1,9,1,0,0,1
Practic,1,1,1,1,0,0,0
publicacoes,0,0,1,1,0,0,0
pull-request-action,0,0,1,1,0,1,1
