Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
read-java-properties-file,0,0,0,1,0,0,1
repo-template,2,2,2,1,0,0,1
repo1,0,0,1,2,0,0,0
repositories-reports,1,1,13,1,1,4,1
ritchie-action-go-15,0,0,3,1,0,0,1
ritchie-action-java-8,0,0,2,1,1,1,1
ritchie-action-node,0,0,2,1,0,0,1
ritchie-action-python,5,1,5,1,0,1,1
ritchie-action-shell,0,0,5,1,0,0,1
ritchie-cli,0,0,1,30,0,0,0
ritchie-cli-action,1,1,2,1,1,2,1
ritchie-demo-create-cluster,5,2,2,1,1,1,1
ritchie-docker-images,3,2,1,1,0,1,1
ritchie-formulas,0,0,1,30,0,0,0
ritchie-formulas-demo,0,0,2,11,0,0,0
ritchie-formulas-scheduler-demo,77,34,3,1,3,5,2
ritchie-tdc-poa,0,0,1,1,1,1,1
ritchie-tdc-recife,0,0,2,1,0,1,1
ritchie-templates,0,0,2,1,0,1,0
ritchie-templates-perso,0,0,3,2,0,0,1
schemastore-stackspot,1,1,1,6,0,0,0
setup-rsync,28,8,2,1,1,6,1
setup-windows10-sdk-action,41,15,5,5,8,18,1
sign-and-notarize-gha,24,13,2,1,0,2,1
so-automation,0,0,0,1,0,0,1
splain,0,0,1,14,0,0,0
SSH-to-HTTPS,15,3,1,1,1,1,1
stk-cli-action-poc,0,0,2,1,0,0,1
stk-quickstart-golang,0,0,2,1,0,0,1
test,0,0,1,2,0,0,0
TestCreateSecret,0,0,1,2,0,0,0
useful-actions,97,59,537,4,12,181,2
vagas,0,0,1,2,0,0,0
wait-on-check-action,0,0,1,10,0,0,0
wait-sleep-action,6,2,1,1,0,0,1
webhooks-python,0,0,1,1,0,0,1
write-java-properties-file,2,1,2,1,0,2,1
xcode-notarize,19,4,1,2,0,0,0
actions-download-file,0,0,1,5,0,0,0
Alphasians-AINA,4,1,1,2,0,0,0
apisec-run-scan,0,0,2,4,0,0,0
article_foss4g2021,0,0,1,9,0,0,0
assert-command-line-output,43,13,19,2,3,13,1
awesome-chatgpt-prompts,1,1,1,30,0,0,0
aws-clis-action,0,0,1,1,0,4,1
aws-doc-sdk-examples,1,1,0,30,0,0,0
bot-area,0,0,1,3,1,0,0
branch-exists,17,4,4,1,0,0,1
Calendly-mentores,0,0,1,2,0,0,0
clone-github-repo-action,209,102,17,1,7,27,2
cloud-formulas,0,0,1,2,0,1,0
command-output-file-action,0,0,1,1,0,1,1
convert-json-to-env,17,6,1,1,0,1,1
copy-push-files,41,13,3,1,3,1,1
create-other-repo-branch-action,47,28,2,3,5,8,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,27,3,4,1,16,61,8
dezafio-java,0,0,0,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,2,0,0,3
diff-action,0,0,4,1,0,2,1
djangowallet,0,0,1,2,0,0,0
docker-mysql-python,123,17,3,1,4,11,2
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,1,10,0,0,0
formulas-4-tests,0,0,1,2,0,2,1
formulas-aws,28,6,22,3,7,13,3
formulas-games,198,13,6,1,2,10,2
formulas-github,83,28,9,5,6,36,2
formulas-gRPC,2,2,9,2,0,3,1
formulas-insights,0,0,4,1,0,7,1
formulas-office-hours,0,0,1,1,0,1,1
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,1,1,0,1,1
formulas-python,4,3,5,2,3,18,3
formulas-training,0,0,52,1,0,0,1
formulas-v3,0,0,1,1,0,1,1
git-commit-push,58,26,223,1,1,7,2
github-stack,0,0,2013,1,0,0,1
github-team-members,11,2,1,1,0,0,1
github_actions_test,0,0,1,2,0,0,0
go-authenticator,1,1,0,1,0,0,1
good-first-issue,0,0,1,30,0,1,0
GuillaumeFalourd,79,24,129,3,95,39,3
guillaumefalourd.github.io,0,0,2,1,0,0,1
horusec-action,0,0,1,2,0,0,0
hypedsearch,9,2,1,3,0,0,0
idea-maze,1,1,1,2,0,0,0
install-poetry,0,0,1,15,0,0,0
java-exercices,68,17,6,9,13,22,2
java-training-api,51,10,7,2,45,92,3
java-trilha-basica,3,1,3,2,4,11,3
jobs-by-city-linkedin-reports,0,0,0,1,0,0,1
Kivy_calculator,2,2,1,2,0,0,0
macos-installer-builder,0,0,0,3,0,0,0
mapas-mentais,0,0,1,2,0,1,0
maven-cli-jdks-action,2,2,1,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,0,0,2,9,0,0,0
noticias,0,0,1,1,0,0,0
open-issue-action,21,13,1,1,1,2,1
os-cli-poc,0,0,0,1,0,0,1
poc-bank-api-java,79,5,2,2,0,4,1
poc-bank-api-kotlin,8,2,1,2,1,0,1
poc-book-api-golang,5,1,1,1,0,0,1
poc-chalice-python,0,0,1,1,0,1,1
poc-cicd-herokuci,0,0,1,1,0,0,1
poc-cli-golang,0,0,3,1,0,1,1
poc-cli-python,0,0,1,2,0,0,2
poc-cli-translations,0,0,5,1,0,0,1
poc-composite-run-steps-action,0,0,2,1,0,0,1
poc-django-python,0,0,1,1,0,0,1
poc-encryption-jwt,1,1,3,2,3,7,1
poc-github-actions,2882,581,1569,2,53,114,3
poc-go-mod,0,0,2,1,0,0,1
poc-grpc-golang,0,0,549,1,0,0,1
poc-grpc-java-gradle,1,1,4,2,0,2,1
poc-grpc-java-maven,2,1,1,2,0,1,1
poc-grpc-python,0,0,4,1,0,0,1
poc-kafka-python,3,1,2,1,0,0,1
poc-private-repo-actions,0,0,0,1,0,0,1
poc-proto,0,0,18,1,0,1,1
poc-pyinstaller,1,1,1,2,1,0,1
poc-pytest-split-github-actions,0,0,1,1,1,0,1
poc-rest-api-golang,1,1,1,1,0,0,1
poc-rest-api-python,0,0,2,1,0,0,1
poc-runtimes,0,0,0,1,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,4,2,22,2,0,2,1
poc-template-rest,0,0,1,2,0,0,0
poc-terraform,8,2,4,1,0,0,1
poc-testing-rest-api-golang,3,1,9,1,0,0,1
poc-typescript,0,0,5,2,0,0,1
poc-viper,0,0,1,1,0,0,1
Practic,1,1,1,1,0,0,0
publicacoes,0,0,1,1,0,0,0
pull-request-action,0,0,2,1,0,1,1
