Repository,Views,Uniques,Clones,Contributors,Forks,Stars,Watchers
cloud-formulas,0,0,2,2,0,0,0
developers-tips-and-tricks-resources,109,12,5,1,5,29,5
formulas-4-tests,1,1,15,2,0,0,1
formulas-aws,11,2,2,2,1,2,1
formulas-github,90,17,45,3,3,12,2
formulas-insights,33,5,9,1,0,1,1
formulas-office-hours,0,0,2,1,0,0,1
formulas-python,299,26,36,2,4,11,2
formulas-training,19,1,1,1,0,0,1
GuillaumeFalourd,134,17,134,2,7,0,1
java-backend-trail,0,0,1,1,0,1,1
jobs-by-city-linkedin-reports,134,3,20,1,0,0,1
mapas-mentais,0,0,2,2,0,0,0
my-contents,0,0,0,1,0,0,1
noticias,0,0,1,1,0,0,0
poc-bank-api-java,22,6,13,1,0,2,1
poc-bank-api-kotlin,5,1,8,1,0,0,1
poc-chalice-python,128,45,10,1,0,1,1
poc-composite-run-steps-action,4,2,13,1,0,0,1
poc-django-python,0,0,6,1,0,0,1
poc-github-actions,95,10,42,1,0,0,1
poc-grpc-python,0,0,5,1,0,0,1
poc-kafka-python,0,0,2,1,0,0,1
poc-rest-api-python,0,0,2,1,0,0,1
repositories-reports,182,22,22,1,1,0,1
ritchie-action-go-15,41,2,15,1,0,0,1
ritchie-action-java-8,29,2,10,1,0,0,1
ritchie-action-node,49,2,13,1,0,0,1
ritchie-action-python,43,3,10,1,0,0,1
ritchie-action-shell,60,3,28,1,0,0,1
ritchie-cli,0,0,0,30,0,0,0
ritchie-docker-images,1,1,2,1,0,0,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,2,0,0,0
ritchie-formulas-scheduler-demo,159,10,16,1,0,4,2
ritchie-tdc-poa,0,0,0,1,0,0,1
ritchie-tdc-recife,0,0,0,1,0,0,1
ritchie-templates,0,0,0,2,0,0,1
stackoverflow-automation,372,88,10,1,0,0,1
useful-actions,112,10,335,1,0,0,1
vagas,0,0,2,2,0,0,0
