Repository,Views,Uniques,Clones,Contributors,Forks,Stars,Watchers
cloud-formulas,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,81,11,5,1,5,30,5
formulas-4-tests,0,0,3,2,0,0,1
formulas-aws,82,4,27,2,1,3,1
formulas-github,229,87,4,3,3,17,2
formulas-insights,36,6,8,1,0,1,1
formulas-office-hours,7,2,2,1,0,0,1
formulas-python,38,11,4,2,4,11,2
formulas-training,20,1,0,1,0,0,1
GuillaumeFalourd,166,41,234,2,10,0,1
java-backend-trail,0,0,0,1,0,1,1
jobs-by-city-linkedin-reports,82,1,5,1,0,0,1
mapas-mentais,2,1,0,2,0,0,0
my-contents,0,0,0,1,0,0,1
noticias,0,0,0,1,0,0,0
poc-bank-api-java,6,1,2,1,0,2,1
poc-bank-api-kotlin,4,1,1,1,0,0,1
poc-chalice-python,7,7,1,1,0,1,1
poc-composite-run-steps-action,0,0,2,1,0,0,1
poc-django-python,10,2,0,1,0,0,1
poc-github-actions,202,7,99,2,0,0,1
poc-go-mod,15,4,6,1,0,0,1
poc-grpc-python,0,0,0,1,0,0,1
poc-kafka-python,0,0,0,1,0,0,1
poc-rest-api-python,1,1,0,1,0,0,1
repositories-reports,52,4,10,1,1,0,1
ritchie-action-go-15,0,0,3,1,0,0,1
ritchie-action-java-8,12,3,5,1,1,1,1
ritchie-action-node,0,0,3,1,0,0,1
ritchie-action-python,0,0,3,1,0,0,1
ritchie-action-shell,1,1,5,1,0,0,1
ritchie-aws-create-cluster-success,9,1,1,1,0,0,1
ritchie-cli,0,0,2,30,0,0,0
ritchie-docker-images,0,0,0,1,0,0,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,2,0,0,0
ritchie-formulas-scheduler-demo,101,8,10,1,0,4,2
ritchie-tdc-poa,0,0,0,1,0,0,1
ritchie-tdc-recife,4,1,0,1,0,0,1
ritchie-templates,0,0,0,2,0,0,1
stackoverflow-automation,0,0,0,1,0,0,1
useful-actions,38,3,348,2,0,0,1
vagas,0,0,0,2,0,0,0
