Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
Alphasians-AINA,0,0,1,2,0,0,0
apisec-run-scan,0,0,1,4,0,0,0
article_foss4g2021,0,0,12,9,0,0,0
assert-command-line-output,8,4,616,1,0,5,1
aws-clis-action,2,1,4,1,0,4,1
aws-doc-sdk-examples,1,1,0,30,0,0,0
Calendly-mentores,0,0,2,2,0,0,0
clone-github-repo-action,30,13,3,1,0,4,1
cloud-formulas,1,1,1,2,0,1,0
command-output-file-action,0,0,2,1,0,0,1
create-other-repo-branch-action,15,5,1,1,0,1,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,14,7,50,1,14,51,7
dezafio,0,0,0,2,0,0,1
diff-action,3,2,2,1,0,2,1
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,28,10,0,0,0
formulas-4-tests,9,2,2,2,0,1,1
formulas-aws,24,6,2,2,3,8,3
formulas-games,39,9,11,1,1,10,2
formulas-github,40,12,5,5,6,27,2
formulas-gRPC,10,2,1,1,0,3,1
formulas-insights,21,5,2,1,0,4,1
formulas-office-hours,6,2,2,1,0,1,1
formulas-perso,0,0,1,1,0,0,1
formulas-pontomais,22,4,0,1,0,1,1
formulas-python,35,3,13,2,3,16,3
formulas-training,0,0,14,1,0,0,1
formulas-v3,4,3,1,1,0,1,1
git-commit-push,15,4,149,1,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,2,30,0,1,0
GuillaumeFalourd,85,22,183,3,72,27,2
hypedsearch,23,5,4,3,0,0,0
java-exercices,165,34,17,6,12,4,2
java-training-api,92,18,4,2,29,75,3
jobs-by-city-linkedin-reports,9,1,2,1,0,0,1
mapas-mentais,0,0,2,2,0,0,0
maven-cli-jdks-action,0,0,2,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,0,0,1,9,0,0,0
noticias,0,0,1,1,0,0,0
open-issue-action,1,1,2,1,0,0,1
os-cli-poc,0,0,0,1,0,0,1
poc-bank-api-java,1,1,1,1,0,2,1
poc-bank-api-kotlin,3,3,1,2,0,0,1
poc-book-api-golang,0,0,2,1,0,0,1
poc-chalice-python,0,0,2,1,0,1,1
poc-cicd-herokuci,5,4,7,1,0,0,1
poc-cli-golang,0,0,0,1,0,0,1
poc-composite-run-steps-action,0,0,1,1,0,0,1
poc-django-python,0,0,0,1,0,0,1
poc-github-actions,130,40,540,2,5,8,1
poc-go-mod,0,0,4,1,0,0,1
poc-grpc-golang,1,1,5,1,0,0,1
poc-grpc-java-gradle,0,0,2,2,0,2,1
poc-grpc-java-maven,0,0,1,1,0,1,1
poc-grpc-python,0,0,5,1,0,0,1
poc-kafka-python,0,0,0,1,0,0,1
poc-proto,2,1,2,1,0,1,1
poc-rest-api-golang,0,0,1,1,0,0,1
poc-rest-api-python,0,0,0,1,0,0,1
poc-template-rest,5,1,1,2,0,0,0
poc-typescript,0,0,0,1,0,0,1
poc-viper,0,0,3,1,0,0,1
publicacoes,0,0,1,1,0,0,0
repositories-reports,3,1,9,1,1,1,1
ritchie-action-go-15,0,0,3,1,0,0,1
ritchie-action-java-8,0,0,4,1,1,1,1
ritchie-action-node,0,0,4,1,0,0,1
ritchie-action-python,2,1,3,1,0,1,1
ritchie-action-shell,0,0,5,1,0,0,1
ritchie-cli,0,0,7,30,0,0,0
ritchie-cli-action,8,4,3,1,1,2,1
ritchie-demo-create-cluster,29,2,2,1,0,0,1
ritchie-docker-images,1,1,3,1,0,1,1
ritchie-formulas,0,0,6,30,0,0,0
ritchie-formulas-demo,0,0,2,11,0,0,0
ritchie-formulas-scheduler-demo,18,3,36,1,2,5,2
ritchie-tdc-poa,2,1,1,1,0,1,1
ritchie-tdc-recife,3,1,1,1,0,1,1
ritchie-templates,3,2,3,1,0,1,0
ritchie-templates-perso,0,0,0,2,0,0,1
setup-windows10-sdk-action,10,4,3,2,2,6,1
so-automation,0,0,0,1,0,0,1
SSH-to-HTTPS,0,0,117,1,0,0,1
trilha-java,2,1,4,2,2,5,3
useful-actions,89,31,479,3,3,12,1
vagas,0,0,2,2,0,0,0
