Repository,Views,Uniques,Clones,Contributors,Forks,Stars,Watchers
aws-clis-action,452,41,20,1,0,3,1
clone-github-repo-action,209,5,15,1,0,1,1
cloud-formulas,0,0,0,2,0,0,0
ctf-zup-2021,1,1,1,1,0,0,0
developers-tips-and-tricks-resources,60,5,10,1,5,30,5
formulas-4-tests,0,0,0,2,0,0,1
formulas-aws,12,3,7,2,1,3,1
formulas-github,75,33,8,3,3,18,2
formulas-insights,87,10,35,1,0,2,1
formulas-office-hours,0,0,1,1,0,0,1
formulas-python,38,8,8,2,3,12,2
formulas-training,0,0,31,1,0,0,1
GuillaumeFalourd,133,23,217,2,10,1,1
java-backend-trail,14,2,0,1,0,1,2
jobs-by-city-linkedin-reports,162,2,23,1,0,0,1
mapas-mentais,0,0,0,2,0,0,0
maven-cli-jdks-action,117,3,19,1,0,0,1
my-contents,0,0,0,1,0,0,1
noticias,0,0,0,1,0,0,0
poc-bank-api-java,48,1,0,1,0,2,1
poc-bank-api-kotlin,0,0,1,1,0,0,1
poc-chalice-python,0,0,0,1,0,1,1
poc-composite-run-steps-action,0,0,0,1,0,0,1
poc-django-python,0,0,0,1,0,0,1
poc-github-actions,311,14,81,2,0,0,1
poc-go-mod,8,2,1,1,0,0,1
poc-grpc-python,0,0,0,1,0,0,1
poc-kafka-python,0,0,0,1,0,0,1
poc-rest-api-python,0,0,1,1,0,0,1
publicacoes,0,0,5,1,0,0,0
repositories-reports,19,3,10,1,1,1,1
ritchie-action-go-15,0,0,0,1,0,0,1
ritchie-action-java-8,6,1,1,1,1,1,1
ritchie-action-node,6,1,0,1,0,0,1
ritchie-action-python,5,2,0,1,0,0,1
ritchie-action-shell,9,2,0,1,0,0,1
ritchie-cli,19,1,6,30,0,0,0
ritchie-demo-create-cluster,18,1,7,1,0,0,1
ritchie-docker-images,0,0,0,1,0,0,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,2,0,0,0
ritchie-formulas-scheduler-demo,10,5,0,1,0,4,2
ritchie-tdc-poa,0,0,0,1,0,0,1
ritchie-tdc-recife,4,1,0,1,0,0,1
ritchie-templates,14,1,0,2,0,0,1
stackoverflow-automation,0,0,0,1,0,0,1
useful-actions,25,5,202,2,0,0,1
vagas,0,0,0,2,0,0,0
