Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
Alphasians-AINA,0,0,0,2,0,0,0
apisec-run-scan,0,0,0,4,0,0,0
article_foss4g2021,0,0,0,9,0,0,0
aws-clis-action,4,2,4,1,0,3,1
aws-doc-sdk-examples,6,2,0,30,0,0,0
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,20,11,1,1,0,4,1
cloud-formulas,0,0,0,2,0,0,0
command-output-file-action,2,1,0,1,0,0,1
create-other-repo-branch-action,30,15,0,1,0,1,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,20,5,6,1,14,51,7
dezafio,0,0,0,2,0,0,1
diff-action,1,1,0,1,0,2,1
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,0,10,0,0,0
formulas-4-tests,12,1,0,2,0,0,1
formulas-aws,44,14,4,2,2,7,3
formulas-games,48,10,6,1,1,10,2
formulas-github,134,27,15,5,6,25,2
formulas-gRPC,1,1,0,1,0,2,1
formulas-insights,3,2,4,1,0,3,1
formulas-office-hours,0,0,0,1,0,0,1
formulas-pontomais,1,1,0,1,0,1,1
formulas-python,0,0,5,2,3,15,3
formulas-training,0,0,14,1,0,0,1
formulas-v3,59,3,0,1,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,0,30,0,1,0
GuillaumeFalourd,74,19,165,3,74,28,2
hypedsearch,25,2,0,3,0,0,0
java-exercices,463,23,10,2,4,1,2
java-training-api,241,36,6,2,27,77,3
jobs-by-city-linkedin-reports,0,0,2,1,0,0,1
mapas-mentais,4,1,0,2,0,0,0
maven-cli-jdks-action,6,2,0,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,0,0,0,9,0,0,0
noticias,0,0,0,1,0,0,0
open-issue-action,0,0,0,1,0,0,1
os-cli-poc,2,1,0,1,0,0,1
poc-bank-api-java,4,1,1,1,0,2,1
poc-bank-api-kotlin,0,0,0,2,0,0,1
poc-book-api-golang,0,0,0,1,0,0,1
poc-chalice-python,0,0,3,1,0,1,1
poc-cli-golang,0,0,0,1,0,0,1
poc-composite-run-steps-action,0,0,0,1,0,0,1
poc-django-python,0,0,2,1,0,0,1
poc-github-actions,338,58,275,2,5,8,1
poc-go-mod,0,0,0,1,0,0,1
poc-grpc-golang,0,0,0,1,0,0,1
poc-grpc-java-gradle,0,0,0,2,0,2,1
poc-grpc-java-maven,15,2,0,1,0,1,1
poc-grpc-python,0,0,2,1,0,0,1
poc-kafka-python,4,1,1,1,0,0,1
poc-proto,0,0,0,1,0,1,1
poc-rest-api-golang,2,1,0,1,0,0,1
poc-rest-api-python,0,0,1,1,0,0,1
poc-template-rest,8,1,1,2,0,0,0
poc-typescript,21,1,2,1,0,0,1
poc-viper,7,1,0,1,0,0,1
publicacoes,0,0,0,1,0,0,0
repositories-reports,12,5,8,1,1,1,1
ritchie-action-go-15,0,0,0,1,0,0,1
ritchie-action-java-8,0,0,0,1,1,1,1
ritchie-action-node,0,0,1,1,0,0,1
ritchie-action-python,4,1,0,1,0,0,1
ritchie-action-shell,0,0,0,1,0,0,1
ritchie-cli,3,1,0,30,0,0,0
ritchie-cli-action,15,9,0,1,1,1,1
ritchie-demo-create-cluster,30,5,0,1,0,0,1
ritchie-docker-images,0,0,1,1,0,0,1
ritchie-formulas,12,2,0,30,0,0,0
ritchie-formulas-demo,0,0,0,11,0,0,0
ritchie-formulas-scheduler-demo,32,3,20,1,2,4,2
ritchie-tdc-poa,0,0,1,1,0,0,1
ritchie-tdc-recife,0,0,0,1,0,0,1
ritchie-templates,36,2,0,1,0,0,0
ritchie-templates-perso,1,1,0,2,0,0,1
setup-windows10-sdk-action,39,13,1,2,1,6,1
so-automation,0,0,0,1,0,0,1
test-cli-commands-action,4,3,0,1,0,5,1
trilha-java,5,3,1,2,2,5,3
useful-actions,32,8,277,2,2,5,1
vagas,0,0,0,2,0,0,0
