Repository,Views,Uniques,Clones,Contributors,Forks,Stars,Watchers
cloud-formulas,3,1,1,2,0,0,0
developers-tips-and-tricks-resources,54,8,21,1,5,29,5
formulas-aws,42,2,6,2,1,2,1
formulas-github,127,35,55,3,3,12,2
formulas-insights,70,8,10,1,0,1,1
formulas-office-hours,3,1,2,1,0,0,1
formulas-python,415,68,13,2,3,9,2
formulas-training,34,2,14,1,0,0,1
GuillaumeFalourd,86,13,137,2,7,0,1
java-backend-trail,17,2,0,1,0,1,1
mapas-mentais,0,0,0,2,0,0,0
my-contents,0,0,0,1,0,0,1
noticias,0,0,0,1,0,0,0
poc-bank-api-java,0,0,0,1,0,0,1
poc-bank-api-kotlin,0,0,0,1,0,0,1
poc-chalice-python,132,38,13,1,0,1,1
poc-django-python,0,0,5,1,0,0,1
poc-github-actions,1,1,49,1,0,0,1
poc-grpc-python,10,1,4,1,0,0,1
poc-kafka-python,3,1,6,1,0,0,1
poc-rest-api-python,10,2,3,1,0,0,1
repo-reports,0,0,5,1,0,0,1
rit-aws-test-cluster,10,1,0,2,0,0,1
ritchie-action-go-15,0,0,3,1,0,0,1
ritchie-action-java-8,0,0,3,1,0,0,1
ritchie-action-node,1,1,3,1,0,0,1
ritchie-action-python,0,0,3,1,0,0,1
ritchie-action-shell,1,1,19,1,0,0,1
ritchie-cli,0,0,0,30,0,0,0
ritchie-docker-images,6,2,3,1,0,0,1
ritchie-formulas,1,1,1,30,0,0,0
ritchie-formulas-demo,1,1,0,2,0,0,0
ritchie-formulas-scheduler-demo,190,8,19,1,0,0,1
ritchie-tdc-poa,0,0,0,1,0,0,1
ritchie-tdc-recife,0,0,0,1,0,0,1
ritchie-templates,4,1,0,2,0,0,1
tdc-innovation-ritchie,44,2,11,1,0,0,1
vagas,0,0,0,2,0,0,0
