Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
aws-clis-action,17,8,1,1,0,3,1
clone-github-repo-action,7,3,1,1,0,1,1
cloud-formulas,0,0,0,2,0,0,0
ctf-zup-2021,0,0,0,1,0,0,0
developers-tips-and-tricks-resources,131,32,3,1,7,32,5
formulas-4-tests,1,1,0,2,0,0,1
formulas-aws,81,22,20,2,2,6,3
formulas-games,147,36,28,1,1,1,1
formulas-github,198,44,14,4,4,21,2
formulas-insights,35,7,10,1,0,2,1
formulas-office-hours,0,0,1,1,0,0,1
formulas-pontomais,0,0,0,1,0,0,1
formulas-python,39,19,6,2,3,13,2
formulas-training,0,0,28,1,0,0,1
github-action-concat-pr-body,1,1,4,2,0,0,0
go-authenticator,0,0,1,1,0,0,1
good-first-issue,2,1,5,30,0,0,0
GuillaumeFalourd,1750,302,207,3,45,12,2
java-backend-trail,11,2,0,1,1,1,2
jobs-by-city-linkedin-reports,65,3,14,1,0,0,1
mapas-mentais,11,1,0,2,0,0,0
maven-cli-jdks-action,1,1,1,1,0,0,1
my-contents,0,0,0,1,0,0,1
noticias,1,1,0,1,0,0,0
open-issue-action,6,3,1,1,0,0,1
poc-bank-api-java,105,4,0,1,0,2,1
poc-bank-api-kotlin,9,3,1,2,0,0,1
poc-chalice-python,0,0,3,1,0,1,1
poc-composite-run-steps-action,0,0,1,1,0,0,1
poc-django-python,0,0,0,1,0,0,1
poc-github-actions,346,32,145,2,0,1,1
poc-go-mod,0,0,1,1,0,0,1
poc-grpc-python,0,0,1,1,0,0,1
poc-kafka-python,0,0,0,1,0,0,1
poc-rest-api-python,0,0,0,1,0,0,1
publicacoes,1,1,0,1,0,0,0
repositories-reports,17,1,6,1,1,1,1
ritchie-action-go-15,1,1,0,1,0,0,1
ritchie-action-java-8,0,0,0,1,1,1,1
ritchie-action-node,1,1,0,1,0,0,1
ritchie-action-python,1,1,0,1,0,0,1
ritchie-action-shell,20,3,0,1,0,0,1
ritchie-cli,391,7,126,30,0,0,0
ritchie-demo-create-cluster,8,6,1,1,0,0,1
ritchie-docker-images,7,1,0,1,0,0,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,2,0,0,0
ritchie-formulas-scheduler-demo,6,2,1,1,0,4,2
ritchie-tdc-poa,0,0,0,1,0,0,1
ritchie-tdc-recife,1,1,1,1,0,0,1
ritchie-templates,68,2,12,2,0,0,1
setup-windows10-sdk-action,63,6,62,2,0,0,1
stackoverflow-automation,0,0,0,1,0,0,1
useful-actions,136,12,363,2,1,0,1
vagas,1,1,0,2,0,0,0
