Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
pull-request-action,1,1,1,1,0,1,1
read-java-properties-file,0,0,0,1,0,0,1
repo-template,0,0,1,1,0,0,1
repo1,0,0,0,2,0,0,0
repositories-reports,3,2,14,1,1,4,1
ritchie-action-go-15,0,0,2,1,0,0,1
ritchie-action-java-8,0,0,3,1,1,1,1
ritchie-action-node,0,0,2,1,0,0,1
ritchie-action-python,0,0,1,1,0,1,1
ritchie-action-shell,0,0,3,1,0,0,1
ritchie-cli,0,0,0,30,0,0,0
ritchie-cli-action,0,0,1,1,1,2,1
ritchie-demo-create-cluster,1,1,2,1,1,1,1
ritchie-docker-images,6,2,1,1,0,1,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,11,0,0,0
ritchie-formulas-scheduler-demo,85,37,3,1,3,5,2
ritchie-tdc-poa,0,0,0,1,1,1,1
ritchie-tdc-recife,0,0,1,1,0,1,1
ritchie-templates,0,0,0,1,0,1,0
ritchie-templates-perso,0,0,1,2,0,0,1
schemastore-stackspot,0,0,1,6,0,0,0
setup-rsync,33,12,2,1,2,6,1
setup-windows10-sdk-action,168,23,3,5,9,19,1
sign-and-notarize-gha,21,8,0,1,0,3,1
so-automation,0,0,0,1,0,0,1
splain,2,1,0,14,0,0,0
SSH-to-HTTPS,6,3,0,1,1,1,1
stackspot-actions,4,2,1,1,0,0,1
stackspot-plugins,1,1,6,1,0,0,1
stk-cli-action,9,4,2,2,0,0,0
stk-cli-action-poc,0,0,0,1,0,0,1
stk-quickstart-golang,0,0,0,1,0,0,1
test,0,0,0,2,0,0,0
TestCreateSecret,0,0,1,2,0,0,0
useful-actions,186,67,567,4,12,192,2
vagas,0,0,0,2,0,0,0
viagem,0,0,1,3,0,0,0
wait-on-check-action,0,0,0,10,0,0,0
wait-sleep-action,23,1,1,1,0,0,1
webhooks-python,0,0,0,1,0,0,1
write-java-properties-file,2,1,0,1,0,2,1
xcode-notarize,0,0,0,2,0,0,0
actions-download-file,12,1,0,5,0,0,0
Alphasians-AINA,0,0,0,2,0,0,0
apisec-run-scan,0,0,0,4,0,0,0
article_foss4g2021,0,0,0,9,0,0,0
assert-command-line-output,15,6,4,2,3,14,1
awesome-chatgpt-prompts,3,1,0,30,0,0,0
aws-clis-action,0,0,1,1,0,4,1
aws-doc-sdk-examples,0,0,1,30,0,0,0
bot-area,0,0,0,3,1,0,0
branch-exists,15,2,2,1,0,0,1
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,266,95,2,1,12,28,2
cloud-formulas,0,0,0,2,0,1,0
command-output-file-action,20,6,0,1,0,1,1
convert-json-to-env,51,6,1,1,0,1,1
copy-push-files,27,15,0,1,3,1,1
create-other-repo-branch-action,52,26,2,3,5,8,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,5,2,2,1,16,62,8
dezafio-java,0,0,0,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,2,0,0,3
diff-action,32,10,1,1,0,2,1
djangowallet,0,0,0,2,0,0,0
docker-mysql-python,37,8,4,1,4,11,2
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,1,10,0,0,0
formulas-4-tests,11,1,1,2,0,2,1
formulas-aws,2,2,1,3,7,13,3
formulas-games,89,17,1,1,2,10,2
formulas-github,87,19,1,5,6,36,2
formulas-gRPC,0,0,2,2,0,3,1
formulas-insights,1,1,0,1,0,7,1
formulas-office-hours,0,0,3,1,0,1,1
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,2,1,0,1,1
formulas-python,3,2,1,2,3,18,3
formulas-training,0,0,52,1,0,0,1
formulas-v3,0,0,2,1,0,1,1
git-commit-push,91,19,259,1,1,8,2
github-stack,14,1,2008,1,0,0,1
github-team-members,0,0,0,1,0,0,1
github_actions_test,0,0,1,2,0,0,0
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,0,30,0,1,0
GuillaumeFalourd,93,21,361,3,100,39,3
guillaumefalourd.github.io,0,0,1,1,0,0,1
horusec-action,1,1,1,2,0,0,0
hypedsearch,8,2,0,3,0,0,0
idea-maze,0,0,1,2,0,0,0
install-poetry,0,0,1,15,0,0,0
java-exercices,41,9,2,9,13,28,2
java-training-api,51,9,2,2,45,94,3
java-trilha-basica,0,0,2,2,4,12,3
jobs-by-city-linkedin-reports,0,0,0,1,0,0,1
Kivy_calculator,0,0,0,2,0,0,0
macos-installer-builder,0,0,0,3,0,0,0
mapas-mentais,0,0,1,2,0,1,0
maven-cli-jdks-action,3,1,1,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,0,0,1,9,0,0,0
noticias,0,0,1,1,0,0,0
open-issue-action,40,8,1,1,1,2,1
os-cli-poc,0,0,0,1,0,0,1
phpunit,0,0,1,2,0,0,0
poc-bank-api-java,32,5,0,2,0,4,1
poc-bank-api-kotlin,0,0,0,2,1,0,1
poc-book-api-golang,0,0,2,1,0,0,1
poc-chalice-python,0,0,1,1,0,1,1
poc-cicd-herokuci,0,0,0,1,0,0,1
poc-cli-golang,0,0,1,2,0,1,1
poc-cli-python,1,1,1,2,0,0,2
poc-cli-translations,0,0,0,1,0,1,1
poc-composite-run-steps-action,0,0,1,1,0,0,1
poc-django-python,0,0,0,1,0,0,1
poc-encryption-jwt,0,0,2,2,3,7,1
poc-github-actions,4031,570,1541,2,72,141,3
poc-go-mod,0,0,2,1,0,0,1
poc-grpc-golang,0,0,355,1,0,0,1
poc-grpc-java-gradle,0,0,3,2,0,2,1
poc-grpc-java-maven,27,4,3,2,0,1,1
poc-grpc-python,0,0,4,1,0,0,1
poc-kafka-python,7,2,1,1,0,0,1
poc-private-repo-actions,0,0,0,1,0,0,1
poc-proto,0,0,1,1,0,1,1
poc-pyinstaller,0,0,1,2,1,0,1
poc-pytest-split-github-actions,0,0,1,1,1,0,1
poc-rest-api-golang,0,0,1,1,0,0,1
poc-rest-api-python,6,3,7,2,0,0,1
poc-runtimes,1,1,0,2,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,6,2,17,2,0,1,1
poc-template-rest,0,0,1,2,0,0,0
poc-terraform,0,0,0,1,0,0,1
poc-testing-rest-api-golang,1,1,10,2,0,0,1
poc-typescript,1,1,2,2,0,0,1
poc-viper,3,1,0,1,0,0,1
Practic,0,0,0,1,0,0,0
publicacoes,0,0,1,1,0,0,0
