Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
ritchie-action-go-15,0,0,0,1,0,0,1
ritchie-action-java-8,1,1,0,1,1,1,1
ritchie-action-node,0,0,0,1,0,0,1
ritchie-action-python,0,0,0,1,0,1,1
ritchie-action-shell,0,0,0,1,0,0,1
ritchie-cli,0,0,0,30,0,0,0
ritchie-cli-action,1,1,0,1,1,2,1
ritchie-demo-create-cluster,1,1,1,1,1,0,1
ritchie-docker-images,3,3,0,1,0,1,1
ritchie-formulas,0,0,0,30,0,0,0
ritchie-formulas-demo,0,0,0,11,0,0,0
ritchie-formulas-scheduler-demo,43,17,0,1,3,5,2
ritchie-tdc-poa,0,0,1,1,1,1,1
ritchie-tdc-recife,0,0,1,1,0,1,1
ritchie-templates,0,0,1,1,0,1,0
ritchie-templates-perso,7,1,0,2,0,0,1
setup-rsync,31,8,1,1,1,5,1
setup-windows10-sdk-action,15,10,5,5,7,16,1
sign-and-notarize-gha,14,8,0,1,0,2,1
so-automation,0,0,0,1,0,0,1
splain,2,2,0,14,0,0,0
SSH-to-HTTPS,6,2,1,1,1,1,1
stk-cli-action-poc,0,0,1,1,0,0,1
stk-quickstart-golang,0,0,1,1,0,0,1
test,0,0,0,2,0,0,0
useful-actions,108,50,526,4,11,173,2
vagas,0,0,0,2,0,0,0
wait-on-check-action,0,0,0,10,0,0,0
wait-sleep-action,1,1,0,1,0,0,1
webhooks-python,0,0,1,1,0,0,1
write-java-properties-file,11,3,32,1,0,2,1
xcode-notarize,4,2,0,2,0,0,0
actions-download-file,4,2,0,5,0,0,0
Alphasians-AINA,0,0,0,2,0,0,0
apisec-run-scan,0,0,0,4,0,0,0
article_foss4g2021,1,1,1,9,0,0,0
assert-command-line-output,19,15,1,2,3,12,1
awesome-chatgpt-prompts,3,1,1,30,0,0,0
aws-clis-action,2,2,0,1,0,4,1
aws-doc-sdk-examples,0,0,0,30,0,0,0
bot-area,0,0,3,3,1,0,0
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,228,87,2,1,5,21,2
cloud-formulas,0,0,0,2,0,1,0
command-output-file-action,0,0,0,1,0,0,1
convert-json-to-env,22,4,0,1,0,1,1
copy-push-files,14,10,2,1,3,1,1
create-other-repo-branch-action,33,21,11,3,5,5,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,30,4,1,1,16,61,8
dezafio-java,0,0,0,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,2,0,0,3
diff-action,29,2,1,1,0,2,1
djangowallet,3,3,0,2,0,0,0
docker-mysql-python,46,12,6,1,2,10,2
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,0,10,0,0,0
formulas-4-tests,0,0,2,2,0,1,1
