Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
ritchie-templates,0,0,0,1,0,1,0
ritchie-templates-perso,0,0,0,2,0,0,1
setup-rsync,4,1,1,1,0,1,1
setup-windows10-sdk-action,56,16,3,2,3,9,1
sign-and-notarize-gha,29,7,13,1,0,0,1
so-automation,0,0,0,1,0,0,1
splain,3,3,4,14,0,0,0
SSH-to-HTTPS,14,6,2,1,1,1,1
stk-quickstart-golang,2,2,2,1,0,0,1
test,0,0,1,2,0,0,0
useful-actions,126,75,499,4,7,117,1
vagas,0,0,0,2,0,0,0
wait-on-check-action,0,0,0,10,0,0,0
wait-sleep-action,0,0,1,1,0,0,1
webhooks-python,1,1,9,1,0,0,1
xcode-notarize,1,1,0,2,0,0,0
actions-download-file,0,0,1,5,0,0,0
Alphasians-AINA,1,1,0,2,0,0,0
apisec-run-scan,0,0,0,4,0,0,0
article_foss4g2021,0,0,2,9,0,0,0
assert-command-line-output,17,11,6,1,1,10,1
aws-clis-action,2,1,3,1,0,4,1
aws-doc-sdk-examples,0,0,0,30,0,0,0
bot-area,0,0,0,3,0,0,0
Calendly-mentores,0,0,0,2,0,0,0
clone-github-repo-action,265,92,4,1,2,8,2
cloud-formulas,0,0,0,2,0,1,0
command-output-file-action,7,2,3,1,0,0,1
copy-push-files,17,2,60,1,0,0,1
create-other-repo-branch-action,28,14,4,1,0,1,1
ctf-zup-2021,0,0,0,1,0,0,0
DescomplicandoDocker,0,0,0,2,0,0,0
developers-tips-and-tricks-resources,17,4,12,1,16,57,7
dezafio,8,1,1,2,0,0,1
diff-action,2,1,1,1,0,2,1
djangowallet,0,0,1,2,0,0,0
docker-para-desenvolvedores,0,0,0,30,0,0,0
docs-ritchie,0,0,0,10,0,0,0
formulas-4-tests,0,0,2,2,0,1,1
formulas-aws,13,7,3,2,3,10,3
formulas-games,23,8,2,1,1,10,2
formulas-github,220,32,180,5,7,31,2
formulas-gRPC,0,0,2,1,0,3,1
formulas-insights,18,2,2,1,0,6,1
formulas-office-hours,1,1,0,1,0,1,1
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,12,1,1,1,0,1,1
formulas-python,17,5,4,2,3,18,3
formulas-training,0,0,52,1,0,0,1
formulas-v3,0,0,2,1,0,1,1
git-commit-push,12,9,227,1,0,3,1
github_actions_test,0,0,0,2,0,0,0
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,0,30,0,1,0
GuillaumeFalourd,94,17,251,3,75,33,2
guillaumefalourd.github.io,0,0,0,1,0,0,1
horusec-action,0,0,3,2,0,0,0
hypedsearch,11,2,0,3,0,0,0
java-exercices,38,10,2,9,12,7,2
java-training-api,124,26,7,2,40,85,3
java-trilha-basica,9,2,1,2,3,8,3
jobs-by-city-linkedin-reports,0,0,2,1,0,0,1
Kivy_calculator,1,1,0,2,0,0,0
macos-installer-builder,1,1,0,3,0,0,0
mapas-mentais,0,0,0,2,0,1,0
maven-cli-jdks-action,1,1,0,1,0,0,1
my-contents,0,0,0,1,0,0,1
NFive,5,1,2,9,0,0,0
noticias,0,0,0,1,0,0,0
open-issue-action,21,8,3,1,0,0,1
os-cli-poc,0,0,0,1,0,0,1
poc-bank-api-java,66,10,0,2,0,2,1
poc-bank-api-kotlin,1,1,2,2,1,0,1
poc-book-api-golang,0,0,1,1,0,0,1
poc-chalice-python,0,0,2,1,0,1,1
poc-cicd-herokuci,0,0,0,1,0,0,1
poc-cli-golang,0,0,0,1,0,0,1
poc-cli-python,0,0,0,2,0,0,2
poc-composite-run-steps-action,0,0,0,1,0,0,1
poc-django-python,0,0,0,1,0,0,1
poc-github-actions,1155,260,1909,2,13,27,1
poc-go-mod,0,0,0,1,0,0,1
poc-grpc-golang,1,1,16,1,0,0,1
poc-grpc-java-gradle,0,0,3,2,0,2,1
poc-grpc-java-maven,0,0,0,1,0,1,1
poc-grpc-python,0,0,2,1,0,0,1
poc-kafka-python,0,0,0,1,0,0,1
poc-private-repo-actions,0,0,0,1,0,0,1
poc-proto,0,0,2,1,0,1,1
poc-pyinstaller,0,0,2,2,1,0,1
poc-rest-api-golang,0,0,1,1,0,0,1
poc-rest-api-python,0,0,0,1,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,0,0,3,2,0,1,1
poc-template-rest,0,0,2,2,0,0,0
poc-typescript,0,0,1,2,0,0,1
poc-viper,0,0,3,1,0,0,1
publicacoes,0,0,0,1,0,0,0
pull-request-action,8,2,61,1,0,1,1
repo-template,1,1,0,1,0,0,1
repo1,0,0,1,2,0,0,0
repositories-reports,27,4,8,1,1,3,1
ritchie-action-go-15,0,0,0,1,0,0,1
ritchie-action-java-8,0,0,2,1,1,1,1
ritchie-action-node,0,0,0,1,0,0,1
ritchie-action-python,7,2,2,1,0,1,1
ritchie-action-shell,0,0,2,1,0,0,1
ritchie-cli,4,1,5,30,0,0,0
ritchie-cli-action,2,2,5,1,1,2,1
ritchie-demo-create-cluster,11,5,0,1,0,0,1
ritchie-docker-images,1,1,0,1,0,1,1
ritchie-formulas,0,0,2,30,0,0,0
ritchie-formulas-demo,0,0,4,11,0,0,0
ritchie-formulas-scheduler-demo,3,3,30,1,2,5,2
ritchie-tdc-poa,2,1,0,1,0,1,1
ritchie-tdc-recife,2,1,0,1,0,1,1
