Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
poc-rest-api-python,0,0,2,2,0,0,2
poc-runtimes,0,0,0,2,0,0,1
poc-self-hosted,0,0,0,1,0,0,1
poc-subprocess,0,0,3,2,0,1,2
poc-template-rest,0,0,1,2,0,0,1
poc-terraform,0,0,0,1,0,0,1
poc-testing-rest-api-golang,0,0,0,2,0,0,1
poc-typescript,0,0,3,2,0,0,2
poc-viper,0,0,2,1,0,0,2
Practic,0,0,0,1,0,0,1
publicacoes,0,0,1,1,0,0,1
pull-request-action,1,1,1,1,1,2,2
read-java-properties-file,0,0,0,1,0,0,1
replace-values-action,5,1,31,1,0,0,2
repo-template,1,1,2,1,0,0,2
repo1,0,0,1,2,0,0,1
repositories-reports,6,2,18,1,2,5,2
ritchie-action-go-15,0,0,1,1,0,0,2
ritchie-action-java-8,0,0,1,1,1,1,2
ritchie-action-node,0,0,2,1,0,0,2
ritchie-action-python,1,1,1,1,0,1,2
ritchie-action-shell,0,0,1,1,0,0,2
ritchie-cli,0,0,1,30,0,0,1
ritchie-cli-action,2,1,1,1,1,2,2
ritchie-demo-create-cluster,4,2,2,1,2,2,2
ritchie-docker-images,7,2,1,1,0,1,2
ritchie-formulas,0,0,1,30,0,0,1
ritchie-formulas-demo,0,0,1,11,0,0,1
ritchie-formulas-scheduler-demo,119,35,1,1,3,5,3
ritchie-tdc-poa,0,0,1,1,1,1,2
ritchie-tdc-recife,0,0,0,1,0,1,2
ritchie-templates,0,0,1,1,0,1,1
ritchie-templates-perso,0,0,1,2,0,0,2
runtime-deploy,0,0,0,2,0,0,1
runtime-deploy-action,0,0,0,1,0,0,1
runtime-knowledge-sources,0,0,0,1,0,0,1
schemastore-stackspot,0,0,0,6,0,0,1
setup-rsync,18,5,8,3,3,10,2
setup-windows10-sdk-action,117,17,7,6,13,25,3
sign-and-notarize-gha,7,5,5,1,0,7,2
so-automation,0,0,0,1,0,0,1
splain,0,0,1,13,0,0,1
SSH-to-HTTPS,2,1,1,1,1,1,2
stackspot-actions,6,3,12,1,0,0,2
stackspot-ai-rqc,54,8,46,2,1,5,1
stackspot-ai-security-action-poc,17,5,24,1,3,2,2
stackspot-plugins,9,1,5,1,0,1,2
stk-cli-action,0,0,0,2,0,0,1
stk-cli-action-poc,0,0,0,1,0,0,2
stk-quickstart-golang,0,0,0,1,0,0,2
test,0,0,1,2,0,0,1
TestCreateSecret,0,0,0,2,0,0,1
useful-actions,137,55,534,6,21,252,4
vagas,0,0,1,2,0,0,1
viagem,0,0,0,3,0,0,1
wait-on-check-action,0,0,2,10,0,0,1
wait-sleep-action,81,4,1,1,0,3,2
webhooks-python,0,0,3,1,0,0,2
write-java-properties-file,0,0,2,2,0,3,2
xcode-notarize,5,2,3,2,2,2,1
actions-download-file,0,0,0,5,0,0,1
Alphasians-AINA,0,0,1,2,0,0,1
amplify-vite-react-template,0,0,0,1,0,0,1
apisec-run-scan,0,0,1,4,0,0,1
article_foss4g2021,0,0,1,9,0,0,1
assert-command-line-output,26,5,4,2,3,18,2
awesome-chatgpt-prompts,0,0,0,30,0,0,1
aws-clis-action,0,0,0,1,0,4,2
aws-doc-sdk-examples,0,0,1,30,0,0,1
aws-ecs-cluster-using-terraform,0,0,0,1,0,0,2
bot-area,0,0,1,3,1,0,1
branch-exists,105,17,0,1,0,1,2
Calendly-mentores,0,0,1,2,0,0,1
clone-github-repo-action,167,39,5,3,20,46,3
cloud-formulas,0,0,1,2,0,1,1
command-output-file-action,9,2,1,1,0,1,2
convert-json-to-env,44,6,0,1,0,1,2
copy-push-files,29,8,1,1,4,2,2
create-other-repo-branch-action,54,20,2,2,6,10,2
CrossPipe-Connect,0,0,0,1,0,0,1
ctf-zup-2021,0,0,1,1,0,0,1
DescomplicandoDocker,0,0,1,2,0,0,1
developers-tips-and-tricks-resources,32,1,0,1,15,66,9
dezafio-java,0,0,0,2,0,0,1
dezafio-kotlin,0,0,0,3,1,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,0,0,0,2,0,0,3
diff-action,7,3,0,1,0,2,2
djangowallet,0,0,0,2,0,0,1
docker-mysql-python,148,9,1,1,4,9,3
docker-para-desenvolvedores,0,0,1,30,0,0,1
docs-ritchie,0,0,1,10,0,0,1
engineering-handbook,0,0,0,1,0,0,1
formulas-4-tests,2,1,13,2,0,2,2
formulas-aws,0,0,4,3,7,12,4
formulas-games,24,5,0,1,2,10,3
formulas-github,97,16,2,5,6,35,3
formulas-gRPC,0,0,1,2,0,3,2
formulas-insights,1,1,1,1,0,8,2
formulas-office-hours,0,0,1,1,0,1,2
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,2,1,0,1,2
formulas-python,17,3,4,2,3,18,3
formulas-training,0,0,92,1,0,0,1
formulas-v3,0,0,0,1,0,1,2
get-release-or-tag,0,0,0,1,0,0,1
git-commit-push,36,13,183,1,2,13,3
github-stack,0,0,1,1,0,0,2
github-team-members,96,6,2,1,0,1,2
github_actions_test,0,0,1,2,0,0,1
go-authenticator,0,0,0,1,0,0,1
good-first-issue,0,0,1,30,0,1,1
GuillaumeFalourd,63,18,170,3,105,44,4
guillaumefalourd.github.io,0,0,2,1,0,0,2
horusec-action,0,0,1,2,0,0,1
hypedsearch,21,2,1,3,0,0,1
idea-maze,0,0,0,2,0,0,1
install-poetry,0,0,0,15,0,0,1
java-exercices,395,38,2,8,11,35,3
java-training-api,46,4,2,2,42,102,4
java-trilha-basica,0,0,0,2,4,13,4
jobs-by-city-linkedin-reports,0,0,0,1,0,0,1
Kivy_calculator,0,0,1,2,0,0,1
kotlin-training-api,0,0,1,1,0,0,2
macos-installer-builder,0,0,1,3,0,0,1
mapas-mentais,0,0,1,2,0,1,1
maven-cli-jdks-action,3,3,1,1,0,0,2
my-contents,0,0,0,1,0,0,1
NFive,0,0,1,9,0,0,1
notary-tools,6,1,3,1,4,2,2
noticias,0,0,1,1,0,0,1
open-issue-action,17,1,2,1,1,2,2
oracle-plugins-new,0,0,0,3,0,0,0
os-cli-poc,0,0,0,1,0,0,1
phpunit,0,0,0,2,0,0,1
poc-ai,0,0,0,1,0,0,1
poc-bank-api-java,26,3,3,2,0,4,2
poc-bank-api-kotlin,0,0,0,2,0,0,1
poc-book-api-golang,0,0,2,1,0,0,2
poc-chalice-python,0,0,0,1,0,1,2
poc-cicd-herokuci,0,0,4,1,0,0,2
poc-cli-golang,0,0,0,2,0,1,2
poc-cli-python,0,0,3,2,0,0,3
poc-cli-translations,0,0,0,1,0,1,2
poc-composite-run-steps-action,0,0,1,1,0,0,2
poc-django-python,0,0,2,1,0,0,2
poc-encryption-jwt,1,1,0,2,3,8,2
poc-github-actions,1761,343,801,3,97,289,5
poc-go-mod,0,0,0,1,0,0,2
poc-grpc-golang,4,1,1,2,0,0,2
poc-grpc-java-gradle,0,0,0,2,1,2,2
poc-grpc-java-maven,0,0,1,3,0,1,2
poc-grpc-python,2,2,1,1,0,0,2
poc-kafka-python,0,0,0,1,0,0,2
poc-private-repo-actions,0,0,0,1,0,0,1
