Repository,"Views 
(Last 14 days)","Uniques 
(Last 14 days)","Clones 
(Last 14 days)",Contributors,Forks,Stars,Watchers
poc-viper,1,1,0,1,0,0,2
Practic,0,0,0,1,0,0,1
publicacoes,0,0,0,1,0,0,1
pull-request-action,5,1,2,1,0,1,2
read-java-properties-file,0,0,0,1,0,0,1
replace-values-action,6,1,35,1,0,0,2
repo-template,0,0,0,1,0,0,2
repo1,0,0,1,2,0,0,1
repositories-reports,0,0,15,1,1,4,2
ritchie-action-go-15,0,0,1,1,0,0,2
ritchie-action-java-8,1,1,2,1,1,1,2
ritchie-action-node,0,0,1,1,0,0,2
ritchie-action-python,0,0,2,1,0,1,2
ritchie-action-shell,0,0,3,1,0,0,2
ritchie-cli,0,0,6,30,0,0,1
ritchie-cli-action,1,1,5,1,1,2,2
ritchie-demo-create-cluster,0,0,3,1,1,1,2
ritchie-docker-images,2,1,4,1,0,1,2
ritchie-formulas,0,0,2,30,0,0,1
ritchie-formulas-demo,0,0,5,11,0,0,1
ritchie-formulas-scheduler-demo,165,52,7,1,3,5,3
ritchie-tdc-poa,0,0,2,1,1,1,2
ritchie-tdc-recife,0,0,3,1,0,1,2
ritchie-templates,0,0,0,1,0,1,1
ritchie-templates-perso,0,0,1,2,0,0,2
schemastore-stackspot,0,0,0,6,0,0,1
setup-rsync,175,12,5,1,3,6,2
setup-windows10-sdk-action,49,9,3,5,9,19,2
sign-and-notarize-gha,17,9,4,1,0,3,2
so-automation,0,0,0,1,0,0,1
splain,0,0,0,14,0,0,1
SSH-to-HTTPS,0,0,0,1,1,1,2
stackspot-actions,0,0,4,1,0,0,2
stackspot-plugins,0,0,0,1,0,0,2
stk-cli-action,0,0,2,2,0,0,1
stk-cli-action-poc,1,1,1,1,0,0,2
stk-quickstart-golang,15,1,1,1,0,0,2
test,0,0,1,2,0,0,1
TestCreateSecret,0,0,1,2,0,0,1
useful-actions,270,63,526,4,13,204,3
vagas,0,0,1,2,0,0,1
viagem,0,0,1,3,0,0,1
wait-on-check-action,0,0,0,10,0,0,1
wait-sleep-action,21,6,0,1,0,0,2
webhooks-python,0,0,1,1,0,0,2
write-java-properties-file,0,0,6,1,0,2,2
xcode-notarize,0,0,2,2,0,0,1
actions-download-file,14,1,3,5,0,0,1
Alphasians-AINA,0,0,0,2,0,0,1
apisec-run-scan,0,0,0,4,0,0,1
article_foss4g2021,0,0,1,9,0,0,1
assert-command-line-output,34,9,12,2,4,17,2
awesome-chatgpt-prompts,0,0,0,30,0,0,1
aws-clis-action,0,0,0,1,0,4,2
aws-doc-sdk-examples,0,0,0,30,0,0,1
bot-area,0,0,0,3,1,0,1
branch-exists,0,0,1,1,0,0,2
Calendly-mentores,0,0,0,2,0,0,1
clone-github-repo-action,212,46,5,2,14,30,3
cloud-formulas,0,0,1,2,0,1,1
command-output-file-action,8,3,2,1,0,1,2
convert-json-to-env,43,14,0,1,0,1,2
copy-push-files,10,6,5,1,3,1,2
create-other-repo-branch-action,49,21,2,3,5,9,2
ctf-zup-2021,0,0,0,1,0,0,1
DescomplicandoDocker,0,0,0,2,0,0,1
developers-tips-and-tricks-resources,31,3,8,1,16,62,9
dezafio-java,0,0,0,2,0,0,1
dezafio-python-api,0,0,0,1,0,0,1
dezafio-python-cli,1,1,0,2,0,0,3
diff-action,19,3,1,1,0,2,2
djangowallet,0,0,2,2,0,0,1
docker-mysql-python,84,13,5,1,4,10,3
docker-para-desenvolvedores,0,0,0,30,0,0,1
docs-ritchie,0,0,1,10,0,0,1
formulas-4-tests,0,0,7,2,0,2,2
formulas-aws,0,0,5,3,7,13,4
formulas-games,22,6,10,1,2,10,3
formulas-github,163,20,7,5,6,35,3
formulas-gRPC,0,0,0,2,0,3,2
formulas-insights,0,0,6,1,0,7,2
formulas-office-hours,0,0,2,1,0,1,2
formulas-perso,0,0,0,1,0,0,1
formulas-pontomais,0,0,3,1,0,1,2
formulas-python,3,2,8,2,3,18,4
formulas-training,0,0,52,1,0,0,1
formulas-v3,0,0,1,1,0,1,2
get-release-or-tag,0,0,2,1,0,0,1
git-commit-push,49,14,246,1,1,10,3
github-stack,0,0,2011,1,0,0,2
